Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,13,0,193,1,3350,18,0.9946659180235823,0.9948453608247423,0.9146919431279621,0.9530864197530864,0.9571967623726949
10,13,12,-1,94,0,1675,12,0.9932622122403144,1.0,0.8867924528301887,0.94,0.9433962264150944
15,13,12,-1,59,0,1117,12,0.98989898989899,1.0,0.8309859154929577,0.9076923076923077,0.9154929577464789
20,13,12,-1,44,0,838,9,0.98989898989899,1.0,0.8301886792452831,0.9072164948453608,0.9150943396226415
25,13,12,-1,36,0,671,6,0.9915848527349228,1.0,0.8571428571428571,0.9230769230769231,0.9285714285714286
30,12,12,0,26,0,558,10,0.9831649831649831,1.0,0.7222222222222222,0.8387096774193549,0.8611111111111112
35,12,12,0,23,0,477,9,0.9823182711198428,1.0,0.71875,0.8363636363636363,0.859375
40,13,12,-1,22,0,418,6,0.9865470852017937,1.0,0.7857142857142857,0.88,0.8928571428571428
45,12,12,0,18,0,374,4,0.98989898989899,1.0,0.8181818181818182,0.9,0.9090909090909092
50,13,12,-1,16,0,337,4,0.988795518207283,1.0,0.8,0.8888888888888888,0.9
