Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,13,0,259,0,3299,0,1.0,1.0,1.0,1.0,1.0
10,13,13,0,129,0,1649,1,0.9994378864530635,1.0,0.9923076923076923,0.9961389961389961,0.9961538461538462
15,12,12,0,84,0,1101,1,0.9991568296795953,1.0,0.9882352941176471,0.9940828402366864,0.9941176470588236
20,13,13,0,65,0,825,0,1.0,1.0,1.0,1.0,1.0
25,12,12,0,50,0,662,0,1.0,1.0,1.0,1.0,1.0
30,12,12,0,41,0,552,0,1.0,1.0,1.0,1.0,1.0
35,13,12,-1,35,0,469,5,0.9901768172888016,1.0,0.875,0.9333333333333333,0.9375
40,12,12,0,27,0,416,2,0.9955056179775281,1.0,0.9310344827586207,0.9642857142857143,0.9655172413793103
45,12,12,0,27,0,369,0,1.0,1.0,1.0,1.0,1.0
50,11,12,1,21,0,330,5,0.9859550561797753,1.0,0.8076923076923077,0.8936170212765957,0.9038461538461539
55,12,12,0,24,0,299,1,0.9969135802469136,1.0,0.96,0.9795918367346939,0.98
60,11,11,0,20,0,277,0,1.0,1.0,1.0,1.0,1.0
65,12,12,0,15,0,256,3,0.9890510948905109,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
70,12,11,-1,20,0,231,4,0.984313725490196,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
