Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,18,7,157,7,3314,84,0.9744525547445255,0.9573170731707317,0.6514522821576764,0.7753086419753087,0.8246722416509551
10,11,18,7,72,7,1653,49,0.9685569904548007,0.9113924050632911,0.5950413223140496,0.72,0.7954122274220851
15,11,13,2,41,2,1105,40,0.9646464646464646,0.9534883720930233,0.5061728395061729,0.6612903225806451,0.7521830773863294
20,11,11,0,38,1,832,20,0.9764309764309764,0.9743589743589743,0.6551724137931034,0.7835051546391752,0.8269859668005133
25,11,10,-1,22,1,661,29,0.9579242636746143,0.9565217391304348,0.43137254901960786,0.5945945945945946,0.7149309875007405
30,11,11,0,14,3,549,28,0.9478114478114478,0.8235294117647058,0.3333333333333333,0.4745762711864407,0.6639492753623188
35,10,10,0,13,1,472,23,0.9528487229862476,0.9285714285714286,0.3611111111111111,0.52,0.6794984731031243
40,11,10,-1,13,3,413,17,0.9551569506726457,0.8125,0.43333333333333335,0.5652173913043478,0.7130608974358974
45,9,7,-2,7,2,365,22,0.9393939393939394,0.7777777777777778,0.2413793103448276,0.3684210526315789,0.6179648595320868
50,10,7,-3,8,1,331,17,0.9495798319327731,0.8888888888888888,0.32,0.47058823529411764,0.6584939759036145
