Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,18,7,140,3,3296,121,0.9651685393258427,0.9790209790209791,0.5363984674329502,0.693069306930693,0.7677445504791305
10,11,14,3,62,3,1646,69,0.9595505617977528,0.9538461538461539,0.4732824427480916,0.6326530612244898,0.7357315791666474
15,11,11,0,33,2,1101,51,0.9553496208930076,0.9428571428571428,0.39285714285714285,0.5546218487394958,0.6955219531148815
20,11,10,-1,24,2,823,41,0.9516853932584269,0.9230769230769231,0.36923076923076925,0.5274725274725275,0.6834032634032634
25,9,8,-1,18,0,660,34,0.952247191011236,1.0,0.34615384615384615,0.5142857142857142,0.6730769230769231
30,11,8,-3,11,2,550,31,0.9444444444444444,0.8461538461538461,0.2619047619047619,0.4,0.6291407867494824
35,10,2,-8,4,0,468,37,0.9273084479371316,1.0,0.0975609756097561,0.17777777777777778,0.5487804878048781
40,9,6,-3,8,1,412,24,0.9438202247191011,0.8888888888888888,0.25,0.3902439024390244,0.6237893462469734
45,9,6,-3,5,2,365,24,0.9343434343434344,0.7142857142857143,0.1724137931034483,0.2777777777777778,0.5834821009113972
50,8,1,-7,2,0,330,24,0.9325842696629213,1.0,0.07692307692307693,0.14285714285714285,0.5384615384615384
55,8,1,-7,2,0,300,22,0.9320987654320988,1.0,0.08333333333333333,0.15384615384615385,0.5416666666666666
60,8,1,-7,0,1,274,22,0.9225589225589226,0.0,0.0,0.0,0.49818181818181817
