Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,25,14,198,26,3273,63,0.975,0.8839285714285714,0.7586206896551724,0.8164948453608247,0.8753697567705991
10,11,21,10,91,15,1634,40,0.9691011235955056,0.8584905660377359,0.6946564885496184,0.7679324894514767,0.842780033237817
15,11,21,10,56,12,1091,28,0.966301600673968,0.8235294117647058,0.6666666666666666,0.7368421052631579,0.8278936234511938
20,11,18,7,45,10,815,20,0.9662921348314607,0.8181818181818182,0.6923076923076923,0.75,0.8400932400932402
25,9,17,8,36,7,653,16,0.9676966292134831,0.8372093023255814,0.6923076923076923,0.7578947368421053,0.8408508158508159
30,11,16,5,28,9,543,14,0.9612794612794613,0.7567567567567568,0.6666666666666666,0.7088607594936709,0.8251811594202898
35,10,12,2,25,4,464,16,0.9607072691552063,0.8620689655172413,0.6097560975609756,0.7142857142857143,0.8006045445069836
40,9,13,4,22,4,409,10,0.9685393258426966,0.8461538461538461,0.6875,0.7586206896551724,0.8389073849878934
45,9,15,6,19,5,362,10,0.9621212121212122,0.7916666666666666,0.6551724137931034,0.7169811320754716,0.8207742177957342
50,8,11,3,20,4,326,6,0.9719101123595506,0.8333333333333334,0.7692307692307693,0.8,0.8785547785547786
55,8,10,2,14,2,298,10,0.9629629629629629,0.875,0.5833333333333334,0.7,0.7883333333333333
60,8,12,4,10,7,268,12,0.936026936026936,0.5882352941176471,0.45454545454545453,0.5128205128205128,0.7145454545454545
