Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,18,5,90,9,3344,117,0.9646067415730337,0.9090909090909091,0.43478260869565216,0.5882352941176471,0.7160492226299615
10,12,12,0,37,4,1675,64,0.9617977528089887,0.9024390243902439,0.36633663366336633,0.5211267605633803,0.6819771316023799
15,12,12,0,29,3,1115,40,0.9637742207245156,0.90625,0.42028985507246375,0.5742574257425742,0.7088032459619922
20,12,12,0,20,3,836,31,0.9617977528089887,0.8695652173913043,0.39215686274509803,0.5405405405405406,0.694290588702704
25,12,10,-2,16,4,665,27,0.9564606741573034,0.8,0.37209302325581395,0.5079365079365079,0.6830569750060833
30,12,7,-5,13,1,559,21,0.9629629629629629,0.9285714285714286,0.38235294117647056,0.5416666666666666,0.6902836134453781
35,12,6,-6,9,1,478,21,0.9567779960707269,0.9,0.3,0.45,0.6489561586638831
40,12,10,-2,8,4,415,18,0.950561797752809,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.6490728841564164
45,12,7,-5,8,1,372,15,0.9595959595959596,0.8888888888888888,0.34782608695652173,0.5,0.6725725609045343
50,12,8,-4,8,2,332,14,0.9550561797752809,0.8,0.36363636363636365,0.5,0.6788241698421339
55,12,8,-4,8,0,306,10,0.9691358024691358,1.0,0.4444444444444444,0.6153846153846154,0.7222222222222222
60,12,6,-6,5,1,278,13,0.9528619528619529,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.6370967741935484
