Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,19,6,75,10,3343,132,0.9601123595505618,0.8823529411764706,0.36231884057971014,0.5136986301369864,0.6796682183811166
10,12,12,0,28,5,1674,73,0.9561797752808989,0.8484848484848485,0.27722772277227725,0.417910447761194,0.6371248798495097
15,12,11,-1,14,4,1114,55,0.9502948609941028,0.7777777777777778,0.2028985507246377,0.3218390804597701,0.5996603665966659
20,12,9,-3,11,2,837,40,0.952808988764045,0.8461538461538461,0.21568627450980393,0.34375,0.6066512421416719
25,12,8,-4,8,2,667,35,0.9480337078651685,0.8,0.18604651162790697,0.3018867924528302,0.5915284875030417
30,12,6,-6,3,3,557,31,0.9427609427609428,0.5,0.08823529411764706,0.15,0.5414390756302521
35,12,2,-10,2,0,479,28,0.9449901768172888,1.0,0.06666666666666667,0.125,0.5333333333333333
40,12,3,-9,2,1,418,24,0.9438202247191011,0.6666666666666666,0.07692307692307693,0.13793103448275862,0.5372682210391041
45,12,2,-10,2,1,372,21,0.9444444444444444,0.6666666666666666,0.08695652173913043,0.15384615384615385,0.5421377782958386
50,12,3,-9,4,0,334,18,0.949438202247191,1.0,0.18181818181818182,0.3076923076923077,0.5909090909090909
55,12,3,-9,3,0,306,15,0.9537037037037037,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334
60,12,2,-10,0,2,277,18,0.9326599326599326,0.0,0.0,0.0,0.496415770609319
