Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,29,16,121,34,3319,86,0.9662921348314607,0.7806451612903226,0.5845410628019324,0.6685082872928176,0.7872004449112555
10,12,27,15,57,21,1658,44,0.9634831460674157,0.7307692307692307,0.5643564356435643,0.6368715083798883,0.7759244953679405
15,12,21,9,41,11,1107,28,0.9671440606571188,0.7884615384615384,0.5942028985507246,0.6776859504132231,0.7921819501698166
20,12,24,12,27,14,825,24,0.9573033707865168,0.6585365853658537,0.5294117647058824,0.5869565217391305,0.756362616560331
25,12,18,6,26,12,657,17,0.9592696629213483,0.6842105263157895,0.6046511627906976,0.6419753086419753,0.7933569715298779
30,12,14,2,21,7,553,13,0.9663299663299664,0.75,0.6176470588235294,0.6774193548387096,0.8025735294117647
35,12,17,5,19,9,470,11,0.9607072691552063,0.6785714285714286,0.6333333333333333,0.6551724137931034,0.8072720946416145
40,12,15,3,12,8,411,14,0.950561797752809,0.6,0.46153846153846156,0.5217391304347826,0.7212226913897559
45,12,11,-1,13,2,371,10,0.9696969696969697,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.7799277305047208
50,12,10,-2,11,3,331,11,0.9606741573033708,0.7857142857142857,0.5,0.6111111111111112,0.7455089820359282
55,12,10,-2,10,1,305,8,0.9722222222222222,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.7761437908496732
60,12,11,-1,10,3,276,8,0.9629629629629629,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.7724014336917563
