modelo,falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm
catboost,lacuna,20,5,5,2733,86,2647,5,0.9986813186813187,0.98125,1.0,0.9625,0.9808917197452229,0.9999999999995445,2195,0,3,77,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_catboost_lacuna_jan20_passo5_cm.png
catboost,oscilacao,90,50,50,272,36,236,5,0.9911111111111112,0.9948979591836735,0.9354838709677419,1.0,0.9666666666666667,0.989795918362297,194,2,0,29,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_catboost_oscilacao_jan90_passo50_cm.png
catboost,queda,90,5,5,2719,226,2493,5,0.9902869757174393,0.9480333790427773,0.994535519125683,0.896551724137931,0.9430051813471503,0.9995150339471389,2061,1,21,182,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_catboost_queda_jan90_passo5_cm.png
mlp,lacuna,100,100,100,136,12,124,5,0.9818181818181818,0.9090909090909092,1.0,0.8181818181818182,0.9,0.999999999989899,99,0,2,9,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_mlp_lacuna_jan100_passo100_cm.png
mlp,oscilacao,80,80,80,171,14,157,5,0.9928571428571429,0.9961538461538462,0.9090909090909091,1.0,0.9523809523809523,0.9923076923000592,129,1,0,10,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_mlp_oscilacao_jan80_passo80_cm.png
mlp,queda,30,5,5,2731,94,2637,5,0.996043956043956,0.9457831325301205,1.0,0.891566265060241,0.9426751592356688,0.9999999999995438,2192,0,9,74,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_mlp_queda_jan30_passo5_cm.png
random_forest,lacuna,20,5,5,2733,86,2647,5,0.9947252747252747,0.925,1.0,0.85,0.918918918918919,0.9999999999995445,2195,0,12,68,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_random_forest_lacuna_jan20_passo5_cm.png
random_forest,oscilacao,90,55,55,248,28,220,5,0.9902439024390244,0.9745404868355688,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9945355191202485,182,1,1,21,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_random_forest_oscilacao_jan90_passo55_cm.png
random_forest,queda,20,20,20,684,18,666,5,0.9964912280701754,0.9333333333333333,1.0,0.8666666666666667,0.9285714285714286,0.9999999999981982,555,0,2,13,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_random_forest_queda_jan20_passo20_cm.png
xgboost,lacuna,80,80,80,171,13,158,5,1.0,1.0,1.0,1.0,1.0,0.9999999999921876,128,0,0,12,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_xgboost_lacuna_jan80_passo80_cm.png
xgboost,oscilacao,90,50,50,272,36,236,5,0.9866666666666667,0.9923469387755102,0.90625,1.0,0.9508196721311475,0.9846938775459965,193,3,0,29,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_xgboost_oscilacao_jan90_passo50_cm.png
xgboost,queda,100,70,70,195,20,175,5,0.99375,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.9999999999929579,142,0,1,17,C:\PROJETO\dataError_IC-master\resultados\MP25_1_20231010_0000_to_20240113_0000_xgboost_queda_jan100_passo70_cm.png
