Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,224,0,2004,32,0.9858407079646018,1.0,0.875,0.9333333333333333,0.9375
10,105,0,1003,22,0.9805309734513274,1.0,0.8267716535433071,0.9051724137931034,0.9133858267716535
15,69,0,669,17,0.9774834437086093,1.0,0.8023255813953488,0.8903225806451613,0.9011627906976745
20,55,0,498,12,0.9787610619469026,1.0,0.8208955223880597,0.9016393442622951,0.9104477611940298
25,39,0,401,10,0.9777777777777777,1.0,0.7959183673469388,0.8863636363636364,0.8979591836734694
30,37,0,330,8,0.9786666666666667,1.0,0.8222222222222222,0.9024390243902439,0.9111111111111111
35,30,0,283,7,0.978125,1.0,0.8108108108108109,0.8955223880597015,0.9054054054054055
40,27,0,246,7,0.975,1.0,0.7941176470588235,0.8852459016393442,0.8970588235294117
45,22,0,222,6,0.976,1.0,0.7857142857142857,0.88,0.8928571428571428
50,20,0,200,5,0.9777777777777777,1.0,0.8,0.8888888888888888,0.9
55,17,0,182,6,0.9707317073170731,1.0,0.7391304347826086,0.85,0.8695652173913043
60,19,0,162,4,0.9783783783783784,1.0,0.8260869565217391,0.9047619047619048,0.9130434782608696
65,12,0,153,5,0.9705882352941176,1.0,0.7058823529411765,0.8275862068965517,0.8529411764705883
70,15,0,142,3,0.98125,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
75,13,0,133,4,0.9733333333333334,1.0,0.7647058823529411,0.8666666666666667,0.8823529411764706
80,9,0,126,5,0.9642857142857143,1.0,0.6428571428571429,0.782608695652174,0.8214285714285714
85,10,0,116,4,0.9692307692307692,1.0,0.7142857142857143,0.8333333333333334,0.8571428571428572
90,13,0,109,3,0.976,1.0,0.8125,0.896551724137931,0.90625
95,7,0,102,6,0.9478260869565217,1.0,0.5384615384615384,0.7,0.7692307692307692
100,6,0,99,5,0.9545454545454546,1.0,0.5454545454545454,0.7058823529411765,0.7727272727272727
