Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,106,2,2100,62,0.9718061674008811,0.9814814814814815,0.6309523809523809,0.7681159420289855,0.8150004530832313
10,47,3,1049,36,0.9656387665198238,0.94,0.5662650602409639,0.706766917293233,0.7817066746071739
15,29,3,697,26,0.9615894039735099,0.90625,0.5272727272727272,0.6666666666666666,0.7614935064935064
20,19,2,518,26,0.9504424778761061,0.9047619047619048,0.4222222222222222,0.5757575757575758,0.7091880341880342
25,14,1,417,18,0.9577777777777777,0.9333333333333333,0.4375,0.5957446808510638,0.7175538277511961
30,12,1,344,18,0.9493333333333334,0.9230769230769231,0.4,0.5581395348837209,0.6985507246376812
35,7,2,300,16,0.9446153846153846,0.7777777777777778,0.30434782608695654,0.4375,0.6488626547653326
40,7,1,256,16,0.9392857142857143,0.875,0.30434782608695654,0.45161290322580644,0.6502283877516495
45,2,1,232,15,0.936,0.6666666666666666,0.11764705882352941,0.2,0.5566776066649836
50,7,2,203,13,0.9333333333333333,0.7777777777777778,0.35,0.4827586206896552,0.6701219512195122
55,4,0,191,10,0.9512195121951219,1.0,0.2857142857142857,0.4444444444444444,0.6428571428571428
60,6,1,171,12,0.9315789473684211,0.8571428571428571,0.3333333333333333,0.48,0.6637596899224806
