Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,185,0,2031,49,0.9783664459161148,1.0,0.7905982905982906,0.883054892601432,0.8952991452991452
10,87,0,1014,29,0.9743362831858408,1.0,0.75,0.8571428571428571,0.875
15,49,0,678,28,0.9629139072847682,1.0,0.6363636363636364,0.7777777777777778,0.8181818181818181
20,34,0,509,22,0.9610619469026549,1.0,0.6071428571428571,0.7555555555555555,0.8035714285714286
25,29,0,402,19,0.9577777777777777,1.0,0.6041666666666666,0.7532467532467533,0.8020833333333333
30,22,0,334,19,0.9493333333333334,1.0,0.5365853658536586,0.6984126984126984,0.7682926829268293
35,21,0,286,13,0.959375,1.0,0.6176470588235294,0.7636363636363637,0.8088235294117647
40,12,0,255,13,0.9535714285714286,1.0,0.48,0.6486486486486487,0.74
45,14,0,223,13,0.948,1.0,0.5185185185185185,0.6829268292682927,0.7592592592592593
50,10,0,201,14,0.9377777777777778,1.0,0.4166666666666667,0.5882352941176471,0.7083333333333334
55,10,0,182,13,0.9365853658536586,1.0,0.43478260869565216,0.6060606060606061,0.717391304347826
60,7,0,166,12,0.9351351351351351,1.0,0.3684210526315789,0.5384615384615384,0.6842105263157895
65,5,0,160,10,0.9428571428571428,1.0,0.3333333333333333,0.5,0.6666666666666666
70,6,0,143,11,0.93125,1.0,0.35294117647058826,0.5217391304347826,0.6764705882352942
75,7,0,134,9,0.94,1.0,0.4375,0.6086956521739131,0.71875
80,4,0,129,7,0.95,1.0,0.36363636363636365,0.5333333333333333,0.6818181818181819
85,3,0,118,9,0.9307692307692308,1.0,0.25,0.4,0.625
90,8,0,109,8,0.936,1.0,0.5,0.6666666666666666,0.75
