Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,204,80,1975,6,0.9620309050772627,0.7183098591549296,0.9714285714285714,0.8259109311740891,0.9662495655196386
10,106,37,992,0,0.9674008810572687,0.7412587412587412,1.0,0.8514056224899599,0.9820213799805637
15,67,17,667,4,0.9721854304635762,0.7976190476190477,0.9436619718309859,0.864516129032258,0.9594040853306975
20,50,13,499,3,0.9716814159292035,0.7936507936507936,0.9433962264150944,0.8620689655172413,0.9590028007075472
25,41,11,398,0,0.9755555555555555,0.7884615384615384,1.0,0.8817204301075269,0.9865525672371638
30,32,8,333,2,0.9733333333333334,0.8,0.9411764705882353,0.8648648648648649,0.9588580300155253
35,27,7,284,2,0.971875,0.7941176470588235,0.9310344827586207,0.8571428571428571,0.9534897499703756
40,28,5,246,1,0.9785714285714285,0.8484848484848485,0.9655172413793104,0.9032258064516129,0.9727984613271055
45,22,7,219,2,0.964,0.7586206896551724,0.9166666666666666,0.8301886792452831,0.9428466076696165
50,20,5,200,0,0.9777777777777777,0.8,1.0,0.8888888888888888,0.9878048780487805
55,19,5,181,0,0.975609756097561,0.7916666666666666,1.0,0.8837209302325582,0.9865591397849462
60,12,2,169,2,0.9783783783783784,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9227234753550543
65,15,1,157,2,0.9828571428571429,0.9375,0.8823529411764706,0.9090909090909091,0.93801191362621
70,11,1,145,3,0.975,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8894324853228963
