Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,211,38,1997,19,0.9748344370860927,0.8473895582329317,0.9173913043478261,0.8810020876826722,0.9493590428373038
10,106,20,994,10,0.9734513274336283,0.8412698412698413,0.9137931034482759,0.8760330578512396,0.947034618785282
15,70,16,663,6,0.9708609271523179,0.813953488372093,0.9210526315789473,0.8641975308641975,0.9487442833888846
20,52,4,507,2,0.9893805309734514,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9775675871566283
25,40,8,391,11,0.9577777777777777,0.8333333333333334,0.7843137254901961,0.8080808080808081,0.8821318000884564
30,34,7,332,2,0.976,0.8292682926829268,0.9444444444444444,0.8831168831168831,0.961897738446411
35,28,4,285,3,0.978125,0.875,0.9032258064516129,0.8888888888888888,0.9446924880008929
40,27,2,249,2,0.9857142857142858,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9615331776342904
45,24,7,217,2,0.964,0.7741935483870968,0.9230769230769231,0.8421052631578947,0.9459134615384616
50,19,6,190,10,0.9288888888888889,0.76,0.6551724137931034,0.7037037037037037,0.8122800844475722
55,18,4,180,3,0.9658536585365853,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.9177018633540373
60,14,2,169,0,0.9891891891891892,0.875,1.0,0.9333333333333333,0.9941520467836258
65,16,3,153,3,0.9657142857142857,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9114372469635628
70,14,3,142,1,0.975,0.8235294117647058,0.9333333333333333,0.875,0.9563218390804598
75,14,3,131,2,0.9666666666666667,0.8235294117647058,0.875,0.8484848484848485,0.9263059701492538
80,10,1,129,0,0.9928571428571429,0.9090909090909091,1.0,0.9523809523809523,0.9961538461538462
