Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,223,58,1977,7,0.9713024282560706,0.7935943060498221,0.9695652173913043,0.87279843444227,0.9705319944450379
10,114,28,986,2,0.9734513274336283,0.8028169014084507,0.9827586206896551,0.8837209302325582,0.9775726042304291
15,74,20,659,2,0.9708609271523179,0.7872340425531915,0.9736842105263158,0.8705882352941177,0.9721145647624215
20,52,8,503,2,0.9823008849557522,0.8666666666666667,0.9629629629629629,0.9122807017543859,0.9736536928317749
25,46,11,388,5,0.9644444444444444,0.8070175438596491,0.9019607843137255,0.8518518518518519,0.9371959310039806
30,35,12,327,1,0.9653333333333334,0.7446808510638298,0.9722222222222222,0.8433734939759037,0.9684119960668633
35,27,3,286,4,0.978125,0.9,0.8709677419354839,0.8852459016393442,0.9302935595490568
40,25,6,245,4,0.9642857142857143,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.9190822915235609
45,24,4,220,2,0.976,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9526098901098901
50,26,6,190,3,0.96,0.8125,0.896551724137931,0.8524590163934426,0.9329697396199859
55,19,4,180,2,0.9707317073170731,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.9415113871635611
60,12,2,169,2,0.9783783783783784,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9227234753550543
65,16,1,155,3,0.9771428571428571,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.9178475033738192
70,11,1,144,4,0.96875,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8632183908045976
75,14,3,131,2,0.9666666666666667,0.8235294117647058,0.875,0.8484848484848485,0.9263059701492538
80,8,1,129,2,0.9785714285714285,0.8888888888888888,0.8,0.8421052631578947,0.8961538461538462
