Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,265,121,1869,5,0.9442477876106194,0.6865284974093264,0.9814814814814815,0.8079268292682927,0.9603387306904895
10,128,57,937,8,0.9424778761061947,0.6918918918918919,0.9411764705882353,0.7975077881619937,0.9419162031009587
15,87,18,646,4,0.9708609271523179,0.8285714285714286,0.9560439560439561,0.8877551020408163,0.9644677611545082
20,60,11,490,4,0.9734513274336283,0.8450704225352113,0.9375,0.8888888888888888,0.9577719560878244
25,51,10,384,5,0.9666666666666667,0.8360655737704918,0.9107142857142857,0.8717948717948718,0.9426667875271937
30,41,7,324,3,0.9733333333333334,0.8541666666666666,0.9318181818181818,0.8913043478260869,0.9553350727822026
35,33,7,276,4,0.965625,0.825,0.8918918918918919,0.8571428571428571,0.9335784547798682
40,27,5,245,3,0.9714285714285714,0.84375,0.9,0.8709677419354839,0.94
45,30,5,215,0,0.98,0.8571428571428571,1.0,0.9230769230769231,0.9886363636363636
50,28,4,192,1,0.9777777777777777,0.875,0.9655172413793104,0.9180327868852459,0.9725545390570021
55,24,5,175,1,0.9707317073170731,0.8275862068965517,0.96,0.8888888888888888,0.9661111111111111
60,18,4,162,1,0.972972972972973,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9616360177552314
65,17,4,149,0,0.9764705882352941,0.8095238095238095,1.0,0.8947368421052632,0.9869281045751634
70,16,4,138,2,0.9625,0.8,0.8888888888888888,0.8421052631578947,0.9303599374021909
75,18,6,125,1,0.9533333333333334,0.75,0.9473684210526315,0.8372093023255814,0.9507834471675372
80,11,3,126,0,0.9785714285714285,0.7857142857142857,1.0,0.88,0.9883720930232558
85,13,4,113,0,0.9692307692307692,0.7647058823529411,1.0,0.8666666666666667,0.982905982905983
90,11,5,106,3,0.936,0.6875,0.7857142857142857,0.7333333333333333,0.8703346203346203
95,12,3,99,1,0.9652173913043478,0.8,0.9230769230769231,0.8571428571428571,0.9468325791855203
100,8,2,99,1,0.9727272727272728,0.8,0.8888888888888888,0.8421052631578947,0.9345434543454345
