Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,182,1,2061,21,0.9902869757174393,0.994535519125683,0.896551724137931,0.9430051813471503,0.9480333790427773
10,90,5,1023,12,0.9849557522123894,0.9473684210526315,0.8823529411764706,0.9137055837563451,0.9387445639734493
15,60,1,686,8,0.9880794701986755,0.9836065573770492,0.8823529411764706,0.9302325581395349,0.9404486685503896
20,44,0,514,7,0.9876106194690265,1.0,0.8627450980392157,0.9263157894736842,0.9313725490196079
25,32,1,409,8,0.98,0.9696969696969697,0.8,0.8767123287671232,0.8987804878048781
30,25,0,343,7,0.9813333333333333,1.0,0.78125,0.8771929824561403,0.890625
35,24,0,290,6,0.98125,1.0,0.8,0.8888888888888888,0.9
40,16,0,256,8,0.9714285714285714,1.0,0.6666666666666666,0.8,0.8333333333333333
45,20,1,225,4,0.98,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.9144542772861357
50,14,0,205,6,0.9733333333333334,1.0,0.7,0.8235294117647058,0.85
55,13,0,186,6,0.9707317073170731,1.0,0.6842105263157895,0.8125,0.8421052631578947
60,13,0,169,3,0.9837837837837838,1.0,0.8125,0.896551724137931,0.90625
65,9,1,157,8,0.9485714285714286,0.9,0.5294117647058824,0.6666666666666666,0.7615413253909158
70,12,0,143,5,0.96875,1.0,0.7058823529411765,0.8275862068965517,0.8529411764705883
75,10,0,136,4,0.9733333333333334,1.0,0.7142857142857143,0.8333333333333334,0.8571428571428572
80,8,0,127,5,0.9642857142857143,1.0,0.6153846153846154,0.7619047619047619,0.8076923076923077
85,8,0,118,4,0.9692307692307692,1.0,0.6666666666666666,0.8,0.8333333333333333
90,7,0,114,4,0.968,1.0,0.6363636363636364,0.7777777777777778,0.8181818181818181
