Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,118,13,2089,45,0.97439293598234,0.9007633587786259,0.7239263803680982,0.8027210884353742,0.858870897129815
10,56,8,1045,26,0.9700440528634361,0.875,0.6829268292682927,0.7671232876712328,0.8376647441688092
15,33,5,694,23,0.9629139072847682,0.868421052631579,0.5892857142857143,0.7021276595744681,0.7910663192315552
20,24,4,520,17,0.9628318584070796,0.8571428571428571,0.5853658536585366,0.6956521739130435,0.7888661329361385
25,12,2,414,22,0.9466666666666667,0.8571428571428571,0.35294117647058826,0.5,0.674066742081448
30,11,3,346,15,0.952,0.7857142857142857,0.4230769230769231,0.55,0.7072404672691206
35,4,2,295,19,0.934375,0.6666666666666666,0.17391304347826086,0.27586206896551724,0.5835895183721271
40,3,1,258,18,0.9321428571428572,0.75,0.14285714285714285,0.24,0.5694980694980695
45,5,1,231,13,0.944,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.6367337164750958
50,8,2,203,12,0.9377777777777778,0.8,0.4,0.5333333333333333,0.6951219512195121
55,2,3,188,12,0.926829268292683,0.4,0.14285714285714285,0.21052631578947367,0.5635751682872102
60,3,1,171,10,0.9405405405405406,0.75,0.23076923076923078,0.35294117647058826,0.6124776386404294
65,2,0,163,10,0.9428571428571428,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334
70,1,0,148,11,0.93125,1.0,0.08333333333333333,0.15384615384615385,0.5416666666666666
