Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,171,0,2062,32,0.9858719646799117,1.0,0.8423645320197044,0.9144385026737968,0.9211822660098522
10,88,0,1028,14,0.9876106194690265,1.0,0.8627450980392157,0.9263157894736842,0.9313725490196079
15,58,0,687,10,0.9867549668874173,1.0,0.8529411764705882,0.9206349206349206,0.9264705882352942
20,38,0,514,13,0.9769911504424779,1.0,0.7450980392156863,0.8539325842696629,0.8725490196078431
25,27,0,410,13,0.9711111111111111,1.0,0.675,0.8059701492537313,0.8375
30,24,0,343,8,0.9786666666666667,1.0,0.75,0.8571428571428571,0.875
35,21,0,290,9,0.971875,1.0,0.7,0.8235294117647058,0.85
40,12,0,256,12,0.9571428571428572,1.0,0.5,0.6666666666666666,0.75
45,12,0,226,12,0.952,1.0,0.5,0.6666666666666666,0.75
50,12,0,205,8,0.9644444444444444,1.0,0.6,0.75,0.8
55,12,0,186,7,0.9658536585365853,1.0,0.631578947368421,0.7741935483870968,0.8157894736842105
60,8,0,169,8,0.9567567567567568,1.0,0.5,0.6666666666666666,0.75
65,9,0,158,8,0.9542857142857143,1.0,0.5294117647058824,0.6923076923076923,0.7647058823529411
70,6,0,143,11,0.93125,1.0,0.35294117647058826,0.5217391304347826,0.6764705882352942
75,8,0,136,6,0.96,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857
80,6,1,126,7,0.9428571428571428,0.8571428571428571,0.46153846153846156,0.6,0.7268322228952151
85,5,0,118,7,0.9461538461538461,1.0,0.4166666666666667,0.5882352941176471,0.7083333333333334
90,4,0,114,7,0.944,1.0,0.36363636363636365,0.5333333333333333,0.6818181818181819
