Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,108,34,2113,15,0.9784140969162995,0.7605633802816901,0.8780487804878049,0.8150943396226416,0.9311063650925284
10,54,17,1056,8,0.9779735682819384,0.7605633802816901,0.8709677419354839,0.8120300751879699,0.9275621561494753
15,35,8,706,6,0.9814569536423841,0.813953488372093,0.8536585365853658,0.8333333333333334,0.9212270273963243
20,29,5,529,2,0.9876106194690265,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.963060287543796
25,23,4,425,3,0.9846153846153847,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.9376456876456876
30,19,10,344,2,0.968,0.6551724137931034,0.9047619047619048,0.76,0.9382566585956417
35,14,11,297,3,0.9569230769230769,0.56,0.8235294117647058,0.6666666666666666,0.89390756302521
40,12,8,258,2,0.9642857142857143,0.6,0.8571428571428571,0.7058823529411765,0.9135338345864661
45,12,14,223,1,0.94,0.46153846153846156,0.9230769230769231,0.6153846153846154,0.9320025965595586
50,8,9,205,3,0.9466666666666667,0.47058823529411764,0.7272727272727273,0.5714285714285714,0.842608326253186
