Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,3,3,0,3,3495,0,0.9991423670668954,0.0,0.0,0.0,0.9991423670668954
10,0,5,5,0,5,1744,0,0.9971412235563178,0.0,0.0,0.0,0.9971412235563178
15,0,3,3,0,3,1163,0,0.9974271012006861,0.0,0.0,0.0,0.9974271012006861
20,0,4,4,0,5,870,0,0.9942857142857143,0.0,0.0,0.0,0.9942857142857143
25,0,2,2,0,2,698,0,0.9971428571428571,0.0,0.0,0.0,0.9971428571428571
30,0,3,3,0,3,580,0,0.9948542024013722,0.0,0.0,0.0,0.9948542024013722
35,0,1,1,0,1,499,0,0.998,0.0,0.0,0.0,0.998
40,0,4,4,0,5,433,0,0.9885844748858448,0.0,0.0,0.0,0.9885844748858448
45,0,3,3,0,3,386,0,0.9922879177377892,0.0,0.0,0.0,0.9922879177377892
50,0,2,2,0,2,348,0,0.9942857142857143,0.0,0.0,0.0,0.9942857142857143
55,0,2,2,0,3,315,0,0.9905660377358491,0.0,0.0,0.0,0.9905660377358491
60,0,3,3,0,7,285,0,0.976027397260274,0.0,0.0,0.0,0.976027397260274
65,0,1,1,0,3,267,0,0.9888888888888889,0.0,0.0,0.0,0.9888888888888889
70,0,1,1,0,1,249,0,0.996,0.0,0.0,0.0,0.996
75,0,3,3,0,3,231,0,0.9871794871794872,0.0,0.0,0.0,0.9871794871794872
80,0,2,2,0,2,217,0,0.9908675799086758,0.0,0.0,0.0,0.9908675799086758
