Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,16,16,0,23,3479,0,0.9934323243860651,0.0,0.0,0.0,0.9934323243860651
10,0,8,8,0,9,1742,0,0.9948600799543118,0.0,0.0,0.0,0.9948600799543118
15,0,6,6,0,7,1161,0,0.9940068493150684,0.0,0.0,0.0,0.9940068493150684
20,0,5,5,0,5,871,0,0.9942922374429224,0.0,0.0,0.0,0.9942922374429224
25,0,4,4,0,4,697,0,0.9942938659058488,0.0,0.0,0.0,0.9942938659058488
30,0,3,3,0,3,581,0,0.9948630136986302,0.0,0.0,0.0,0.9948630136986302
35,0,5,5,0,5,496,0,0.9900199600798403,0.0,0.0,0.0,0.9900199600798403
40,0,5,5,0,5,433,0,0.9885844748858448,0.0,0.0,0.0,0.9885844748858448
45,0,2,2,0,2,388,0,0.9948717948717949,0.0,0.0,0.0,0.9948717948717949
50,0,3,3,0,4,347,0,0.9886039886039886,0.0,0.0,0.0,0.9886039886039886
55,0,1,1,0,1,318,0,0.9968652037617555,0.0,0.0,0.0,0.9968652037617555
60,0,2,2,0,3,289,0,0.9897260273972602,0.0,0.0,0.0,0.9897260273972602
