Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,1,1,0,1,3501,0,0.9997144488863506,0.0,0.0,0.0,0.9997144488863506
10,0,2,2,0,2,1749,0,0.9988577955454027,0.0,0.0,0.0,0.9988577955454027
15,0,1,1,0,1,1167,0,0.9991438356164384,0.0,0.0,0.0,0.9991438356164384
20,0,1,1,0,1,875,0,0.9988584474885844,0.0,0.0,0.0,0.9988584474885844
25,0,1,1,0,1,700,0,0.9985734664764622,0.0,0.0,0.0,0.9985734664764622
30,0,1,1,0,1,583,0,0.9982876712328768,0.0,0.0,0.0,0.9982876712328768
35,0,0,0,0,0,501,0,1.0,0.0,0.0,0.0,1.0
40,0,3,3,0,3,435,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
45,0,0,0,0,0,390,0,1.0,0.0,0.0,0.0,1.0
50,0,2,2,0,2,349,0,0.9943019943019943,0.0,0.0,0.0,0.9943019943019943
55,0,0,0,0,0,319,0,1.0,0.0,0.0,0.0,1.0
60,0,2,2,0,2,290,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
