Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,10,10,0,47,3447,0,0.9865483686319405,0.0,0.0,0.0,0.9865483686319405
10,0,13,13,0,29,1718,0,0.9834001144819691,0.0,0.0,0.0,0.9834001144819691
15,0,10,10,0,13,1152,0,0.9888412017167382,0.0,0.0,0.0,0.9888412017167382
20,0,10,10,0,16,858,0,0.9816933638443935,0.0,0.0,0.0,0.9816933638443935
25,0,7,7,0,9,690,0,0.9871244635193133,0.0,0.0,0.0,0.9871244635193133
30,0,6,6,0,7,576,0,0.9879931389365352,0.0,0.0,0.0,0.9879931389365352
35,0,7,7,0,13,487,0,0.974,0.0,0.0,0.0,0.974
40,0,7,7,0,16,421,0,0.9633867276887872,0.0,0.0,0.0,0.9633867276887872
45,0,4,4,0,5,384,0,0.987146529562982,0.0,0.0,0.0,0.987146529562982
50,0,5,5,0,6,344,0,0.9828571428571429,0.0,0.0,0.0,0.9828571428571429
55,0,9,9,0,11,307,0,0.9654088050314465,0.0,0.0,0.0,0.9654088050314465
60,0,6,6,0,6,286,0,0.9794520547945206,0.0,0.0,0.0,0.9794520547945206
65,0,3,3,0,5,264,0,0.9814126394052045,0.0,0.0,0.0,0.9814126394052045
70,0,5,5,0,6,244,0,0.976,0.0,0.0,0.0,0.976
75,0,3,3,0,5,228,0,0.9785407725321889,0.0,0.0,0.0,0.9785407725321889
80,0,4,4,0,6,213,0,0.9726027397260274,0.0,0.0,0.0,0.9726027397260274
85,0,7,7,0,9,197,0,0.9563106796116505,0.0,0.0,0.0,0.9563106796116505
90,0,6,6,0,9,186,0,0.9538461538461539,0.0,0.0,0.0,0.9538461538461539
95,0,5,5,0,6,178,0,0.967391304347826,0.0,0.0,0.0,0.967391304347826
100,0,3,3,0,5,170,0,0.9714285714285714,0.0,0.0,0.0,0.9714285714285714
