Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,9,9,0,24,3474,0,0.9931389365351629,0.0,0.0,0.0,0.9931389365351629
10,0,5,5,0,11,1738,0,0.9937106918238994,0.0,0.0,0.0,0.9937106918238994
15,0,4,4,0,6,1160,0,0.9948542024013722,0.0,0.0,0.0,0.9948542024013722
20,0,6,6,0,8,867,0,0.9908571428571429,0.0,0.0,0.0,0.9908571428571429
25,0,3,3,0,8,692,0,0.9885714285714285,0.0,0.0,0.0,0.9885714285714285
30,0,2,2,0,4,579,0,0.9931389365351629,0.0,0.0,0.0,0.9931389365351629
35,0,2,2,0,4,496,0,0.992,0.0,0.0,0.0,0.992
40,0,3,3,0,5,433,0,0.9885844748858448,0.0,0.0,0.0,0.9885844748858448
45,0,3,3,0,4,385,0,0.9897172236503856,0.0,0.0,0.0,0.9897172236503856
50,0,2,2,0,3,347,0,0.9914285714285714,0.0,0.0,0.0,0.9914285714285714
55,0,4,4,0,4,314,0,0.9874213836477987,0.0,0.0,0.0,0.9874213836477987
60,0,2,2,0,3,289,0,0.9897260273972602,0.0,0.0,0.0,0.9897260273972602
65,0,2,2,0,2,268,0,0.9925925925925926,0.0,0.0,0.0,0.9925925925925926
70,0,2,2,0,3,247,0,0.988,0.0,0.0,0.0,0.988
75,0,1,1,0,2,232,0,0.9914529914529915,0.0,0.0,0.0,0.9914529914529915
80,0,3,3,0,3,216,0,0.9863013698630136,0.0,0.0,0.0,0.9863013698630136
