Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,8,8,0,13,3489,0,0.9962878355225585,0.0,0.0,0.0,0.9962878355225585
10,0,6,6,0,7,1744,0,0.9960022844089091,0.0,0.0,0.0,0.9960022844089091
15,0,4,4,0,4,1164,0,0.9965753424657534,0.0,0.0,0.0,0.9965753424657534
20,0,6,6,0,7,869,0,0.9920091324200914,0.0,0.0,0.0,0.9920091324200914
25,0,1,1,0,2,699,0,0.9971469329529244,0.0,0.0,0.0,0.9971469329529244
30,0,2,2,0,4,580,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
35,0,3,3,0,4,497,0,0.9920159680638723,0.0,0.0,0.0,0.9920159680638723
40,0,4,4,0,4,434,0,0.9908675799086758,0.0,0.0,0.0,0.9908675799086758
45,0,1,1,0,1,389,0,0.9974358974358974,0.0,0.0,0.0,0.9974358974358974
50,0,1,1,0,1,350,0,0.9971509971509972,0.0,0.0,0.0,0.9971509971509972
55,0,2,2,0,2,317,0,0.9937304075235109,0.0,0.0,0.0,0.9937304075235109
60,0,1,1,0,2,290,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
