evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-08 04:40:00,2023-10-08 12:40:00,49.0
oscilacao_002,oscilacao,2023-12-22 03:30:00,2023-12-22 11:40:00,50.0
oscilacao_003,oscilacao,2023-12-18 07:20:00,2023-12-18 14:10:00,42.0
oscilacao_004,oscilacao,2023-10-19 21:20:00,2023-10-20 02:40:00,33.0
oscilacao_005,oscilacao,2023-09-21 22:20:00,2023-09-22 06:10:00,48.0
oscilacao_006,oscilacao,2023-11-12 11:50:00,2023-11-12 17:20:00,34.0
oscilacao_007,oscilacao,2023-10-18 13:00:00,2023-10-18 21:00:00,49.0
oscilacao_008,oscilacao,2023-11-11 15:40:00,2023-11-11 22:30:00,42.0
lacuna_001,lacuna,2024-01-02 08:50:00,2024-01-03 02:40:00,108.0
lacuna_002,lacuna,2023-12-12 09:00:00,2023-12-13 03:10:00,110.0
lacuna_003,lacuna,2023-10-02 05:10:00,2023-10-02 20:30:00,93.0
lacuna_004,lacuna,2023-12-07 19:10:00,2023-12-08 08:40:00,82.0
lacuna_005,lacuna,2023-11-06 12:20:00,2023-11-07 05:00:00,101.0
lacuna_006,lacuna,2023-11-10 12:20:00,2023-11-11 01:00:00,77.0
queda_001,queda,2023-12-24 14:10:00,2023-12-24 17:40:00,22.0
queda_002,queda,2023-09-12 08:20:00,2023-09-12 12:30:00,26.0
queda_003,queda,2023-11-22 21:40:00,2023-11-23 01:40:00,25.0
queda_004,queda,2023-11-06 09:00:00,2023-11-06 12:10:00,20.0
queda_005,queda,2023-10-30 21:20:00,2023-10-31 00:40:00,21.0
queda_006,queda,2023-11-17 15:40:00,2023-11-17 20:00:00,27.0
queda_007,queda,2023-10-16 01:10:00,2023-10-16 07:00:00,36.0
queda_008,queda,2023-11-21 02:10:00,2023-11-21 05:00:00,18.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
