evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-05 05:00:00,2023-11-05 09:50:00,30.0
oscilacao_002,oscilacao,2023-11-08 21:00:00,2023-11-09 01:50:00,30.0
oscilacao_003,oscilacao,2023-11-12 13:00:00,2023-11-12 17:50:00,30.0
oscilacao_004,oscilacao,2023-11-16 05:10:00,2023-11-16 10:00:00,30.0
oscilacao_005,oscilacao,2023-11-19 21:10:00,2023-11-20 02:00:00,30.0
oscilacao_006,oscilacao,2023-11-23 13:10:00,2023-11-23 18:00:00,30.0
oscilacao_007,oscilacao,2023-11-27 05:20:00,2023-11-27 10:10:00,30.0
oscilacao_008,oscilacao,2023-11-30 21:20:00,2023-12-01 02:10:00,30.0
oscilacao_009,oscilacao,2023-12-04 13:20:00,2023-12-04 18:10:00,30.0
oscilacao_010,oscilacao,2023-12-08 05:30:00,2023-12-08 10:20:00,30.0
oscilacao_011,oscilacao,2023-12-11 21:30:00,2023-12-12 02:20:00,30.0
oscilacao_012,oscilacao,2023-12-15 13:30:00,2023-12-15 18:20:00,30.0
oscilacao_013,oscilacao,2023-12-19 05:40:00,2023-12-19 10:30:00,30.0
oscilacao_014,oscilacao,2023-12-22 21:40:00,2023-12-23 02:30:00,30.0
oscilacao_015,oscilacao,2023-12-26 13:40:00,2023-12-26 18:30:00,30.0
oscilacao_016,oscilacao,2023-12-30 05:50:00,2023-12-30 10:40:00,30.0
oscilacao_017,oscilacao,2024-01-02 21:50:00,2024-01-03 02:40:00,30.0
oscilacao_018,oscilacao,2024-01-06 14:00:00,2024-01-06 18:50:00,30.0
lacuna_001,lacuna,2023-11-05 02:30:00,2023-11-05 04:50:00,15.0
lacuna_002,lacuna,2023-11-08 18:30:00,2023-11-08 20:50:00,15.0
lacuna_003,lacuna,2023-11-12 10:30:00,2023-11-12 12:50:00,15.0
lacuna_004,lacuna,2023-11-16 02:40:00,2023-11-16 05:00:00,15.0
lacuna_005,lacuna,2023-11-19 18:40:00,2023-11-19 21:00:00,15.0
lacuna_006,lacuna,2023-11-23 10:40:00,2023-11-23 13:00:00,15.0
lacuna_007,lacuna,2023-11-27 02:50:00,2023-11-27 05:10:00,15.0
lacuna_008,lacuna,2023-11-30 18:50:00,2023-11-30 21:10:00,15.0
lacuna_009,lacuna,2023-12-04 10:50:00,2023-12-04 13:10:00,15.0
lacuna_010,lacuna,2023-12-08 10:30:00,2023-12-08 12:50:00,15.0
lacuna_011,lacuna,2023-12-12 02:30:00,2023-12-12 04:50:00,15.0
lacuna_012,lacuna,2023-12-15 18:30:00,2023-12-15 20:50:00,15.0
lacuna_013,lacuna,2023-12-19 10:40:00,2023-12-19 13:00:00,15.0
lacuna_014,lacuna,2023-12-23 02:40:00,2023-12-23 05:00:00,15.0
lacuna_015,lacuna,2023-12-26 18:40:00,2023-12-26 21:00:00,15.0
lacuna_016,lacuna,2023-12-30 10:50:00,2023-12-30 13:10:00,15.0
lacuna_017,lacuna,2024-01-03 02:50:00,2024-01-03 05:10:00,15.0
lacuna_018,lacuna,2024-01-06 19:00:00,2024-01-06 21:20:00,15.0
queda_001,queda,2023-11-05 00:30:00,2023-11-05 02:20:00,12.0
queda_002,queda,2023-11-08 16:30:00,2023-11-08 18:20:00,12.0
queda_003,queda,2023-11-12 08:30:00,2023-11-12 10:20:00,12.0
queda_004,queda,2023-11-16 00:40:00,2023-11-16 02:30:00,12.0
queda_005,queda,2023-11-19 16:40:00,2023-11-19 18:30:00,12.0
queda_006,queda,2023-11-23 08:40:00,2023-11-23 10:30:00,12.0
queda_007,queda,2023-11-27 00:50:00,2023-11-27 02:40:00,12.0
queda_008,queda,2023-12-01 02:20:00,2023-12-01 04:10:00,12.0
queda_009,queda,2023-12-04 18:20:00,2023-12-04 20:10:00,12.0
queda_010,queda,2023-12-08 03:30:00,2023-12-08 05:20:00,12.0
queda_011,queda,2023-12-11 19:30:00,2023-12-11 21:20:00,12.0
queda_012,queda,2023-12-15 21:00:00,2023-12-15 22:50:00,12.0
queda_013,queda,2023-12-19 13:10:00,2023-12-19 15:00:00,12.0
queda_014,queda,2023-12-23 05:10:00,2023-12-23 07:00:00,12.0
queda_015,queda,2023-12-26 21:10:00,2023-12-26 23:00:00,12.0
queda_016,queda,2023-12-30 13:20:00,2023-12-30 15:10:00,12.0
queda_017,queda,2024-01-03 05:20:00,2024-01-03 07:10:00,12.0
queda_018,queda,2024-01-06 21:30:00,2024-01-06 23:20:00,12.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
