Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,13,0,331,0,3221,0,1.0,1.0,1.0,1.0,1.0
10,13,13,0,165,0,1610,1,0.9994369369369369,1.0,0.9939759036144579,0.9969788519637462,0.9969879518072289
15,12,12,0,108,0,1075,1,0.9991554054054054,1.0,0.9908256880733946,0.9953917050691244,0.9954128440366973
20,11,11,0,83,0,805,0,1.0,1.0,1.0,1.0,1.0
25,12,12,0,66,0,645,0,1.0,1.0,1.0,1.0,1.0
30,11,11,0,53,0,539,0,1.0,1.0,1.0,1.0,1.0
35,12,12,0,42,0,461,5,0.9901574803149606,1.0,0.8936170212765957,0.9438202247191011,0.9468085106382979
40,11,11,0,39,0,405,0,1.0,1.0,1.0,1.0,1.0
45,11,11,0,34,0,361,0,1.0,1.0,1.0,1.0,1.0
50,12,12,0,32,0,324,0,1.0,1.0,1.0,1.0,1.0
55,11,11,0,32,0,289,2,0.9938080495356038,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
60,11,11,0,25,0,271,0,1.0,1.0,1.0,1.0,1.0
65,12,12,0,25,0,249,0,1.0,1.0,1.0,1.0,1.0
70,11,11,0,20,0,229,5,0.9803149606299213,1.0,0.8,0.8888888888888888,0.9
75,11,12,1,18,0,217,2,0.9915611814345991,1.0,0.9,0.9473684210526315,0.95
80,11,11,0,20,0,202,0,1.0,1.0,1.0,1.0,1.0
85,11,11,0,20,0,189,0,1.0,1.0,1.0,1.0,1.0
90,11,11,0,17,0,181,0,1.0,1.0,1.0,1.0,1.0
95,11,11,0,15,0,170,2,0.9893048128342246,1.0,0.8823529411764706,0.9375,0.9411764705882353
100,11,11,0,18,0,160,0,1.0,1.0,1.0,1.0,1.0
