Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,12,-1,215,0,3325,20,0.9943820224719101,1.0,0.9148936170212766,0.9555555555555556,0.9574468085106382
10,13,12,-1,105,0,1662,13,0.9926966292134831,1.0,0.8898305084745762,0.9417040358744395,0.9449152542372881
15,13,12,-1,72,0,1107,8,0.9932603201347936,1.0,0.9,0.9473684210526315,0.95
20,12,12,0,47,0,831,12,0.9865168539325843,1.0,0.7966101694915254,0.8867924528301887,0.8983050847457628
25,12,12,0,40,0,666,6,0.9915730337078652,1.0,0.8695652173913043,0.9302325581395349,0.9347826086956521
30,13,12,-1,35,0,555,4,0.9932659932659933,1.0,0.8974358974358975,0.9459459459459459,0.9487179487179487
35,12,12,0,27,0,476,6,0.9882121807465619,1.0,0.8181818181818182,0.9,0.9090909090909092
40,12,12,0,24,0,418,3,0.9932584269662922,1.0,0.8888888888888888,0.9411764705882353,0.9444444444444444
45,12,12,0,22,0,370,4,0.98989898989899,1.0,0.8461538461538461,0.9166666666666666,0.9230769230769231
50,12,12,0,18,0,333,5,0.9859550561797753,1.0,0.782608695652174,0.8780487804878049,0.8913043478260869
55,12,12,0,14,0,302,8,0.9753086419753086,1.0,0.6363636363636364,0.7777777777777778,0.8181818181818181
60,11,12,1,14,0,280,3,0.98989898989899,1.0,0.8235294117647058,0.9032258064516129,0.9117647058823529
