Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,13,0,331,0,3221,0,1.0,1.0,1.0,1.0,1.0
10,13,13,0,165,0,1610,1,0.9994369369369369,1.0,0.9939759036144579,0.9969788519637462,0.9969879518072289
15,12,12,0,108,0,1075,1,0.9991554054054054,1.0,0.9908256880733946,0.9953917050691244,0.9954128440366973
20,11,11,0,83,0,805,0,1.0,1.0,1.0,1.0,1.0
25,12,12,0,61,0,645,5,0.9929676511954993,1.0,0.9242424242424242,0.9606299212598425,0.9621212121212122
30,11,11,0,53,0,539,0,1.0,1.0,1.0,1.0,1.0
35,12,12,0,41,0,461,6,0.9881889763779528,1.0,0.8723404255319149,0.9318181818181818,0.9361702127659575
40,11,12,1,38,0,405,1,0.9977477477477478,1.0,0.9743589743589743,0.987012987012987,0.9871794871794872
45,11,11,0,34,0,361,0,1.0,1.0,1.0,1.0,1.0
50,12,12,0,29,0,324,3,0.9915730337078652,1.0,0.90625,0.9508196721311475,0.953125
55,11,11,0,31,0,289,3,0.9907120743034056,1.0,0.9117647058823529,0.9538461538461539,0.9558823529411764
60,11,11,0,25,0,271,0,1.0,1.0,1.0,1.0,1.0
65,12,12,0,24,0,249,1,0.9963503649635036,1.0,0.96,0.9795918367346939,0.98
70,11,11,0,19,0,229,6,0.9763779527559056,1.0,0.76,0.8636363636363636,0.88
75,11,12,1,17,0,217,3,0.9873417721518988,1.0,0.85,0.918918918918919,0.925
80,11,12,1,19,0,202,1,0.9954954954954955,1.0,0.95,0.9743589743589743,0.975
85,11,11,0,20,0,189,0,1.0,1.0,1.0,1.0,1.0
90,11,11,0,17,0,181,0,1.0,1.0,1.0,1.0,1.0
95,11,11,0,14,0,170,3,0.983957219251337,1.0,0.8235294117647058,0.9032258064516129,0.9117647058823529
100,11,12,1,16,0,160,2,0.9887640449438202,1.0,0.8888888888888888,0.9411764705882353,0.9444444444444444
