Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,20,9,172,7,3292,89,0.9730337078651685,0.9608938547486033,0.6590038314176245,0.7818181818181819,0.8284409881550081
10,11,19,8,79,8,1641,52,0.9662921348314607,0.9080459770114943,0.6030534351145038,0.7247706422018348,0.7991010050041895
15,11,13,2,44,2,1101,40,0.9646166807076664,0.9565217391304348,0.5238095238095238,0.676923076923077,0.760998143591072
20,11,12,1,35,2,823,30,0.9640449438202248,0.9459459459459459,0.5384615384615384,0.6862745098039216,0.7680186480186479
25,9,11,2,28,1,659,24,0.9648876404494382,0.9655172413793104,0.5384615384615384,0.691358024691358,0.7684731934731934
30,11,11,0,17,4,548,25,0.9511784511784511,0.8095238095238095,0.40476190476190477,0.5396825396825397,0.6987577639751552
35,10,9,-1,14,2,466,27,0.9430255402750491,0.875,0.34146341463414637,0.49122807017543857,0.6685949551803211
40,9,9,0,17,2,411,15,0.9617977528089887,0.8947368421052632,0.53125,0.6666666666666666,0.7632036924939467
45,9,8,-1,8,2,365,21,0.9419191919191919,0.8,0.27586206896551724,0.41025641025641024,0.6352062388424317
50,8,8,0,11,1,329,15,0.9550561797752809,0.9166666666666666,0.4230769230769231,0.5789473684210527,0.71002331002331
55,8,7,-1,7,1,299,17,0.9444444444444444,0.875,0.2916666666666667,0.4375,0.6441666666666667
60,8,7,-1,6,2,273,16,0.9393939393939394,0.75,0.2727272727272727,0.4,0.6327272727272727
