Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,9,45,36,245,51,3166,90,0.9603040540540541,0.8277027027027027,0.7313432835820896,0.7765451664025357,0.8577450020645916
10,9,23,14,118,16,1592,50,0.9628378378378378,0.8805970149253731,0.7023809523809523,0.7814569536423841,0.8462153518123667
15,9,22,13,66,13,1060,45,0.9510135135135135,0.8354430379746836,0.5945945945945946,0.6947368421052632,0.7912395153774464
20,9,24,15,57,8,796,27,0.9605855855855856,0.8769230769230769,0.6785714285714286,0.7651006711409396,0.8343105899076049
25,9,14,5,38,4,638,31,0.9507735583684951,0.9047619047619048,0.5507246376811594,0.6846846846846847,0.7722470540430719
30,8,15,7,32,6,530,24,0.9493243243243243,0.8421052631578947,0.5714285714285714,0.6808510638297872,0.7801172707889126
35,9,9,0,23,2,455,28,0.9409448818897638,0.92,0.45098039215686275,0.6052631578947368,0.7233020122709916
40,8,9,1,23,4,399,18,0.9504504504504504,0.8518518518518519,0.5609756097560976,0.6764705882352942,0.7755250257217212
45,8,14,6,19,6,351,19,0.9367088607594937,0.76,0.5,0.6031746031746031,0.7415966386554622
50,9,8,-1,15,1,321,19,0.9438202247191011,0.9375,0.4411764705882353,0.6,0.7190354402630618
55,8,12,4,13,6,287,17,0.9287925696594427,0.6842105263157895,0.43333333333333335,0.5306122448979592,0.7064277588168373
60,8,12,4,11,6,261,18,0.918918918918919,0.6470588235294118,0.3793103448275862,0.4782608695652174,0.6784192173576133
65,9,12,3,17,4,243,10,0.948905109489051,0.8095238095238095,0.6296296296296297,0.7083333333333334,0.806717648822912
70,8,7,-1,8,2,228,16,0.9291338582677166,0.8,0.3333333333333333,0.47058823529411764,0.6623188405797101
75,8,10,2,9,3,212,13,0.9324894514767933,0.75,0.4090909090909091,0.5294117647058824,0.697568710359408
80,8,6,-2,8,1,200,13,0.9369369369369369,0.8888888888888888,0.38095238095238093,0.5333333333333333,0.6879886282871357
85,8,8,0,10,1,189,9,0.9521531100478469,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.7605263157894737
90,8,0,-8,0,0,179,19,0.9040404040404041,0.0,0.0,0.0,0.5
95,8,0,-8,0,0,168,19,0.8983957219251337,0.0,0.0,0.0,0.5
100,8,0,-8,0,0,163,15,0.9157303370786517,0.0,0.0,0.0,0.5
