Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,10,11,1,135,6,3230,183,0.9468204839617332,0.9574468085106383,0.42452830188679247,0.5882352941176471,0.7113370804860415
10,9,12,3,58,5,1612,102,0.939786156443444,0.9206349206349206,0.3625,0.5201793721973094,0.6797039270253555
15,10,10,0,34,5,1077,69,0.9375527426160337,0.8717948717948718,0.3300970873786408,0.4788732394366197,0.6627380076449582
20,9,7,-2,21,3,808,57,0.9325084364454443,0.875,0.2692307692307692,0.4117647058823529,0.6327658161813525
25,9,7,-2,18,3,644,46,0.9310829817158931,0.8571428571428571,0.28125,0.4235294117647059,0.6383066074188563
30,9,7,-2,10,2,539,42,0.9258010118043845,0.8333333333333334,0.19230769230769232,0.3125,0.5943054173183563
35,8,7,-1,5,3,457,43,0.9094488188976378,0.625,0.10416666666666667,0.17857142857142858,0.5488224637681159
40,9,6,-3,6,5,400,34,0.9123595505617977,0.5454545454545454,0.15,0.23529411764705882,0.5688271604938271
45,8,4,-4,6,1,357,31,0.9189873417721519,0.8571428571428571,0.16216216216216217,0.2727272727272727,0.5796844330363884
50,9,3,-6,2,1,322,31,0.9101123595505618,0.6666666666666666,0.06060606060606061,0.1111111111111111,0.5287550426869312
55,9,4,-5,2,2,292,28,0.9074074074074074,0.5,0.06666666666666667,0.11764705882352941,0.5299319727891156
60,9,4,-5,2,2,269,24,0.9124579124579124,0.5,0.07692307692307693,0.13333333333333333,0.5347715015611695
65,8,1,-7,0,1,249,24,0.9087591240875912,0.0,0.0,0.0,0.498
70,8,2,-6,0,2,230,22,0.905511811023622,0.0,0.0,0.0,0.4956896551724138
75,8,2,-6,1,1,214,21,0.9071729957805907,0.5,0.045454545454545456,0.08333333333333333,0.5204016913319239
80,9,2,-7,0,2,200,21,0.8968609865470852,0.0,0.0,0.0,0.49504950495049505
85,9,0,-9,0,0,190,20,0.9047619047619048,0.0,0.0,0.0,0.5
90,8,1,-7,0,1,179,18,0.9040404040404041,0.0,0.0,0.0,0.49722222222222223
