Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,20,9,184,21,3300,57,0.9781021897810219,0.8975609756097561,0.7634854771784232,0.8251121076233184,0.878581040305562
10,11,19,8,87,14,1646,34,0.9730488489612578,0.8613861386138614,0.71900826446281,0.7837837837837838,0.8552872647615255
15,11,17,6,58,8,1099,23,0.9739057239057239,0.8787878787878788,0.7160493827160493,0.7891156462585034,0.8544113218909967
20,11,16,5,42,7,826,16,0.9741863075196409,0.8571428571428571,0.7241379310344828,0.7850467289719626,0.8578672848449724
25,11,16,5,31,5,657,20,0.9649368863955119,0.8611111111111112,0.6078431372549019,0.7126436781609196,0.8001451335821337
30,11,16,5,31,8,544,11,0.968013468013468,0.7948717948717948,0.7380952380952381,0.7654320987654321,0.8618012422360248
35,10,11,1,22,1,472,14,0.9705304518664047,0.9565217391304348,0.6111111111111112,0.7457627118644068,0.8044984731031243
40,11,14,3,19,6,410,11,0.9618834080717489,0.76,0.6333333333333333,0.6909090909090909,0.8094551282051282
45,9,14,5,20,6,361,9,0.9621212121212122,0.7692307692307693,0.6896551724137931,0.7272727272727273,0.8366531992859156
50,10,13,3,16,5,327,9,0.9607843137254902,0.7619047619047619,0.64,0.6956521739130435,0.8124698795180723
