Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,17,4,115,13,3262,164,0.9501969611705121,0.8984375,0.4121863799283154,0.5651105651105651,0.7041084571397302
10,12,14,2,59,5,1635,78,0.9532920652785594,0.921875,0.4306569343065693,0.5870646766169154,0.7138040769093822
15,12,13,1,41,5,1087,52,0.9518987341772152,0.8913043478260869,0.44086021505376344,0.5899280575539568,0.7181407302375045
20,12,12,0,31,3,819,36,0.9561304836895388,0.9117647058823529,0.4626865671641791,0.6138613861386139,0.7295184660638414
25,12,12,0,27,3,652,29,0.9549929676511955,0.9,0.48214285714285715,0.627906976744186,0.7387813522355507
30,12,10,-2,21,2,545,25,0.954468802698145,0.9130434782608695,0.45652173913043476,0.6086956521739131,0.7264327160003179
35,12,9,-3,12,3,464,29,0.937007874015748,0.8,0.2926829268292683,0.42857142857142855,0.6431294719799446
40,11,11,0,13,4,407,21,0.9438202247191011,0.7647058823529411,0.38235294117647056,0.5098039215686274,0.6863102905395735
45,11,8,-3,10,2,360,23,0.9367088607594937,0.8333333333333334,0.30303030303030304,0.4444444444444444,0.648752720575925
50,11,9,-2,9,5,325,17,0.9382022471910112,0.6428571428571429,0.34615384615384615,0.45,0.6655011655011656
55,13,10,-3,12,2,297,13,0.9537037037037037,0.8571428571428571,0.48,0.6153846153846154,0.7366555183946488
60,11,7,-4,9,1,272,15,0.9461279461279462,0.9,0.375,0.5294117647058824,0.6856684981684982
65,11,12,1,11,3,248,12,0.9452554744525548,0.7857142857142857,0.4782608695652174,0.5945945945945946,0.7331543391650788
70,11,7,-4,6,2,229,17,0.9251968503937008,0.75,0.2608695652173913,0.3870967741935484,0.6261057782796913
75,11,4,-7,5,0,217,15,0.9367088607594937,1.0,0.25,0.4,0.625
80,11,7,-4,6,1,206,10,0.9506726457399103,0.8571428571428571,0.375,0.5217391304347826,0.6850845410628019
85,12,4,-8,3,1,192,14,0.9285714285714286,0.75,0.17647058823529413,0.2857142857142857,0.5856446205425175
90,11,5,-6,5,0,184,9,0.9545454545454546,1.0,0.35714285714285715,0.5263157894736842,0.6785714285714286
