Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,29,16,93,17,3336,114,0.9632022471910112,0.8454545454545455,0.4492753623188406,0.5867507886435331,0.722102637914565
10,12,31,19,59,30,1649,42,0.9595505617977528,0.6629213483146067,0.5841584158415841,0.6210526315789474,0.7831453187010184
15,12,17,5,27,7,1111,42,0.9587194608256108,0.7941176470588235,0.391304347826087,0.5242718446601942,0.6925215835731509
20,12,14,2,22,5,834,29,0.9617977528089887,0.8148148148148148,0.43137254901960786,0.5641025641025641,0.7127065367267289
25,12,17,5,16,10,659,27,0.9480337078651685,0.6153846153846154,0.37209302325581395,0.463768115942029,0.6785726700733479
30,12,13,1,12,5,555,22,0.9545454545454546,0.7058823529411765,0.35294117647058826,0.47058823529411764,0.6720063025210085
35,12,12,0,12,3,476,18,0.9587426326129665,0.8,0.4,0.5333333333333333,0.6968684759916492
40,12,10,-2,8,5,414,18,0.9483146067415731,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.6478795667339821
45,12,7,-5,7,1,372,16,0.9570707070707071,0.875,0.30434782608695654,0.45161290322580644,0.6508334304697517
50,12,10,-2,10,3,331,12,0.9578651685393258,0.7692307692307693,0.45454545454545453,0.5714285714285714,0.7227817093086554
55,12,6,-6,5,1,305,13,0.9567901234567902,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.6372549019607843
60,12,8,-4,6,2,277,12,0.9528619528619529,0.75,0.3333333333333333,0.46153846153846156,0.6630824372759857
