Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,18,0,360,0,1435,0,1.0,1.0,1.0,1.0,1.0
10,18,18,0,181,0,717,0,1.0,1.0,1.0,1.0,1.0
15,18,18,0,123,0,476,0,1.0,1.0,1.0,1.0,1.0
20,18,18,0,90,0,359,0,1.0,1.0,1.0,1.0,1.0
25,17,17,0,72,0,287,0,1.0,1.0,1.0,1.0,1.0
30,18,18,0,64,0,236,0,1.0,1.0,1.0,1.0,1.0
35,18,18,0,50,0,207,0,1.0,1.0,1.0,1.0,1.0
40,18,18,0,47,0,178,0,1.0,1.0,1.0,1.0,1.0
45,17,17,0,41,0,159,0,1.0,1.0,1.0,1.0,1.0
50,17,17,0,35,0,145,0,1.0,1.0,1.0,1.0,1.0
55,18,18,0,34,0,130,0,1.0,1.0,1.0,1.0,1.0
60,17,17,0,32,0,118,0,1.0,1.0,1.0,1.0,1.0
65,18,18,0,26,0,113,0,1.0,1.0,1.0,1.0,1.0
70,18,18,0,26,0,103,0,1.0,1.0,1.0,1.0,1.0
75,17,17,0,25,0,95,0,1.0,1.0,1.0,1.0,1.0
80,18,18,0,23,0,90,0,1.0,1.0,1.0,1.0,1.0
85,17,17,0,22,0,84,0,1.0,1.0,1.0,1.0,1.0
90,17,17,0,22,0,78,0,1.0,1.0,1.0,1.0,1.0
95,17,17,0,18,0,77,0,1.0,1.0,1.0,1.0,1.0
100,17,17,0,17,0,73,0,1.0,1.0,1.0,1.0,1.0
