modelo,falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
catboost,lacuna,20,5,5,2733,86,2647,5,0.9986813186813187,0.98125,1.0,0.9625,0.9808917197452229,0.9999999999995445,2195,0,3,77
catboost,lacuna,20,10,10,1367,42,1325,5,0.9973568281938326,0.9615384615384616,1.0,0.9230769230769231,0.96,0.9999999999990876,1096,0,3,36
catboost,lacuna,20,15,15,911,29,882,5,0.9920529801324504,0.8888888888888888,1.0,0.7777777777777778,0.875,0.9999999999986264,728,0,6,21
catboost,lacuna,20,20,20,684,25,659,5,0.9929824561403509,0.9130434782608696,1.0,0.8260869565217391,0.9047619047619048,0.9999999999981719,547,0,4,19
catboost,lacuna,30,5,5,2731,108,2623,5,0.9951648351648351,0.946078431372549,1.0,0.8921568627450981,0.9430051813471503,0.9999999999995398,2173,0,11,91
catboost,lacuna,30,10,10,1366,53,1313,5,0.9947136563876652,0.94,1.0,0.88,0.9361702127659575,0.9999999999990784,1085,0,6,44
catboost,lacuna,30,15,15,911,35,876,5,0.9920529801324504,0.9090909090909092,1.0,0.8181818181818182,0.9,0.999999999998615,722,0,6,27
catboost,lacuna,30,20,20,683,25,658,5,0.9929203539823008,0.9130434782608696,1.0,0.8260869565217391,0.9047619047619048,0.999999999998155,542,0,4,19
catboost,lacuna,30,25,25,547,23,524,5,0.989010989010989,0.8809523809523809,1.0,0.7619047619047619,0.8648648648648649,0.9999999999976958,434,0,5,16
catboost,lacuna,30,30,30,456,20,436,5,0.9921052631578947,0.9210526315789473,1.0,0.8421052631578947,0.9142857142857143,0.99999999999723,361,0,3,16
catboost,lacuna,40,5,5,2729,130,2599,5,0.9951541850220265,0.9556451612903225,1.0,0.9112903225806451,0.9535864978902954,0.999999999999534,2146,0,11,113
catboost,lacuna,40,10,10,1365,64,1301,5,0.9929515418502203,0.9344262295081966,1.0,0.8688524590163934,0.9298245614035088,0.9999999999990689,1074,0,8,53
catboost,lacuna,40,15,15,910,44,866,5,0.9894039735099338,0.9047619047619048,1.0,0.8095238095238095,0.8947368421052632,0.9999999999985975,713,0,8,34
catboost,lacuna,40,20,20,683,36,647,5,0.9893805309734514,0.9117647058823529,1.0,0.8235294117647058,0.9032258064516129,0.9999999999981167,531,0,6,28
catboost,lacuna,40,25,25,546,28,518,5,0.989010989010989,0.9038461538461539,1.0,0.8076923076923077,0.8936170212765957,0.999999999997669,429,0,5,21
catboost,lacuna,40,30,30,455,24,431,5,0.9893333333333333,0.9130434782608696,1.0,0.8260869565217391,0.9047619047619048,0.9999999999971592,352,0,4,19
