Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,200,0,2053,12,0.9947019867549669,1.0,0.9433962264150944,0.970873786407767,0.9716981132075472
10,93,0,1025,12,0.9893805309734514,1.0,0.8857142857142857,0.9393939393939394,0.9428571428571428
15,56,0,684,15,0.9801324503311258,1.0,0.7887323943661971,0.8818897637795275,0.8943661971830985
20,46,0,509,10,0.9823008849557522,1.0,0.8214285714285714,0.9019607843137255,0.9107142857142857
25,34,0,407,9,0.98,1.0,0.7906976744186046,0.8831168831168831,0.8953488372093024
30,28,0,340,7,0.9813333333333333,1.0,0.8,0.8888888888888888,0.9
35,24,0,290,6,0.98125,1.0,0.8,0.8888888888888888,0.9
40,20,0,255,5,0.9821428571428571,1.0,0.8,0.8888888888888888,0.9
45,19,0,226,5,0.98,1.0,0.7916666666666666,0.8837209302325582,0.8958333333333333
50,19,0,202,4,0.9822222222222222,1.0,0.8260869565217391,0.9047619047619048,0.9130434782608696
55,15,0,186,4,0.9804878048780488,1.0,0.7894736842105263,0.8823529411764706,0.8947368421052632
60,16,0,166,3,0.9837837837837838,1.0,0.8421052631578947,0.9142857142857143,0.9210526315789473
65,11,0,161,3,0.9828571428571429,1.0,0.7857142857142857,0.88,0.8928571428571428
70,11,0,145,4,0.975,1.0,0.7333333333333333,0.8461538461538461,0.8666666666666667
75,11,0,135,4,0.9733333333333334,1.0,0.7333333333333333,0.8461538461538461,0.8666666666666667
80,7,0,128,5,0.9642857142857143,1.0,0.5833333333333334,0.7368421052631579,0.7916666666666667
