Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,201,0,2004,55,0.9756637168141593,1.0,0.78515625,0.8796498905908097,0.892578125
10,94,0,1003,33,0.9707964601769912,1.0,0.7401574803149606,0.8506787330316742,0.8700787401574803
15,57,0,669,29,0.9615894039735099,1.0,0.6627906976744186,0.7972027972027972,0.8313953488372092
20,43,0,498,24,0.9575221238938053,1.0,0.6417910447761194,0.7818181818181819,0.8208955223880596
25,32,0,401,17,0.9622222222222222,1.0,0.6530612244897959,0.7901234567901234,0.8265306122448979
30,27,0,330,18,0.952,1.0,0.6,0.75,0.8
35,19,0,283,18,0.94375,1.0,0.5135135135135135,0.6785714285714286,0.7567567567567568
40,17,0,246,17,0.9392857142857143,1.0,0.5,0.6666666666666666,0.75
45,14,0,222,14,0.944,1.0,0.5,0.6666666666666666,0.75
50,12,0,200,13,0.9422222222222222,1.0,0.48,0.6486486486486487,0.74
55,11,0,182,12,0.9414634146341463,1.0,0.4782608695652174,0.6470588235294118,0.7391304347826086
60,11,0,162,12,0.9351351351351351,1.0,0.4782608695652174,0.6470588235294118,0.7391304347826086
65,8,0,153,9,0.9470588235294117,1.0,0.47058823529411764,0.64,0.7352941176470589
70,7,0,142,11,0.93125,1.0,0.3888888888888889,0.56,0.6944444444444444
75,8,0,133,9,0.94,1.0,0.47058823529411764,0.64,0.7352941176470589
80,5,0,126,9,0.9357142857142857,1.0,0.35714285714285715,0.5263157894736842,0.6785714285714286
85,5,0,116,9,0.9307692307692308,1.0,0.35714285714285715,0.5263157894736842,0.6785714285714286
90,8,0,109,8,0.936,1.0,0.5,0.6666666666666666,0.75
95,4,0,102,9,0.9217391304347826,1.0,0.3076923076923077,0.47058823529411764,0.6538461538461539
100,4,0,99,7,0.9363636363636364,1.0,0.36363636363636365,0.5333333333333333,0.6818181818181819
