Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,229,0,2031,5,0.9977924944812362,1.0,0.9786324786324786,0.9892008639308856,0.9893162393162394
10,111,0,1014,5,0.995575221238938,1.0,0.9568965517241379,0.9779735682819384,0.978448275862069
15,72,0,678,5,0.9933774834437086,1.0,0.935064935064935,0.9664429530201343,0.9675324675324675
20,53,0,509,3,0.9946902654867257,1.0,0.9464285714285714,0.9724770642201835,0.9732142857142857
25,44,0,402,4,0.9911111111111112,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333
30,38,0,334,3,0.992,1.0,0.926829268292683,0.9620253164556962,0.9634146341463414
35,30,0,286,4,0.9875,1.0,0.8823529411764706,0.9375,0.9411764705882353
40,22,0,255,3,0.9892857142857143,1.0,0.88,0.9361702127659575,0.94
45,24,0,223,3,0.988,1.0,0.8888888888888888,0.9411764705882353,0.9444444444444444
50,22,0,201,2,0.9911111111111112,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333
55,18,0,182,5,0.975609756097561,1.0,0.782608695652174,0.8780487804878049,0.8913043478260869
60,16,0,166,3,0.9837837837837838,1.0,0.8421052631578947,0.9142857142857143,0.9210526315789473
65,14,0,160,1,0.9942857142857143,1.0,0.9333333333333333,0.9655172413793104,0.9666666666666667
70,16,0,143,1,0.99375,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
75,14,0,134,2,0.9866666666666667,1.0,0.875,0.9333333333333333,0.9375
80,11,0,129,0,1.0,1.0,1.0,1.0,1.0
85,11,0,118,1,0.9923076923076923,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333
90,13,0,109,3,0.976,1.0,0.8125,0.896551724137931,0.90625
