Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,264,116,1874,6,0.9460176991150443,0.6947368421052632,0.9777777777777777,0.8123076923076923,0.9597431602456727
10,136,53,941,0,0.9530973451327434,0.7195767195767195,1.0,0.8369230769230769,0.9733400402414487
15,87,25,639,4,0.9615894039735099,0.7767857142857143,0.9560439560439561,0.8571428571428571,0.9591966768171587
20,61,11,490,3,0.9752212389380531,0.8472222222222222,0.953125,0.8970588235294118,0.9655844560878244
25,53,9,385,3,0.9733333333333334,0.8548387096774194,0.9464285714285714,0.8983050847457628,0.9617929659173314
30,42,7,324,2,0.976,0.8571428571428571,0.9545454545454546,0.9032258064516129,0.966698709145839
35,33,12,271,4,0.95,0.7333333333333333,0.8918918918918919,0.8048780487804879,0.9247445325183841
40,28,5,245,2,0.975,0.8484848484848485,0.9333333333333333,0.8888888888888888,0.9566666666666667
45,30,7,213,0,0.972,0.8108108108108109,1.0,0.8955223880597015,0.9840909090909091
50,29,7,189,0,0.9688888888888889,0.8055555555555556,1.0,0.8923076923076924,0.9821428571428572
55,22,5,175,3,0.9609756097560975,0.8148148148148148,0.88,0.8461538461538461,0.9261111111111111
60,18,3,163,1,0.9783783783783784,0.8571428571428571,0.9473684210526315,0.9,0.9646480659480026
65,17,5,148,0,0.9705882352941176,0.7727272727272727,1.0,0.8717948717948718,0.9836601307189543
70,17,1,141,1,0.9875,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9687010954616588
75,17,4,127,2,0.96,0.8095238095238095,0.8947368421052632,0.85,0.9321012454801125
80,10,3,126,1,0.9714285714285714,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.9429175475687104
85,11,3,114,2,0.9615384615384616,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.9102564102564102
90,11,2,109,3,0.96,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8838481338481339
95,12,3,99,1,0.9652173913043478,0.8,0.9230769230769231,0.8571428571428571,0.9468325791855203
100,8,1,100,1,0.9818181818181818,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9394939493949395
