Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,263,81,1909,7,0.9610619469026549,0.7645348837209303,0.9740740740740741,0.8566775244299675,0.9666852782430673
10,133,30,964,3,0.9707964601769912,0.8159509202453987,0.9779411764705882,0.8896321070234113,0.9738800449757368
15,86,17,647,5,0.9708609271523179,0.8349514563106796,0.945054945054945,0.8865979381443299,0.9597262677081955
20,59,6,495,5,0.9805309734513274,0.9076923076923077,0.921875,0.9147286821705426,0.9549494760479043
25,50,6,388,6,0.9733333333333334,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9388143582306019
30,41,4,327,3,0.9813333333333333,0.9111111111111111,0.9318181818181818,0.9213483146067416,0.9598667948365833
35,33,3,280,4,0.978125,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.9406455925890556
40,27,3,247,3,0.9785714285714285,0.9,0.9,0.9,0.944
45,27,3,217,3,0.976,0.9,0.9,0.9,0.9431818181818181
50,28,3,193,1,0.9822222222222222,0.9032258064516129,0.9655172413793104,0.9333333333333333,0.9751055594651654
55,20,4,176,5,0.9560975609756097,0.8333333333333334,0.8,0.8163265306122449,0.8888888888888888
60,18,1,165,1,0.9891891891891892,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9706721623335447
65,15,0,153,2,0.9882352941176471,1.0,0.8823529411764706,0.9375,0.9411764705882353
70,13,1,141,5,0.9625,0.9285714285714286,0.7222222222222222,0.8125,0.8575899843505477
75,14,1,130,5,0.96,0.9333333333333333,0.7368421052631579,0.8235294117647058,0.8646042587384491
80,8,0,129,3,0.9785714285714285,1.0,0.7272727272727273,0.8421052631578947,0.8636363636363636
85,9,1,116,4,0.9615384615384616,0.9,0.6923076923076923,0.782608695652174,0.8418803418803419
90,9,1,110,5,0.952,0.9,0.6428571428571429,0.75,0.8169240669240669
95,8,1,101,5,0.9478260869565217,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.802790346907994
100,7,0,101,2,0.9818181818181818,1.0,0.7777777777777778,0.875,0.8888888888888888
