Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,166,82,2018,4,0.9621145374449339,0.6693548387096774,0.9764705882352941,0.7942583732057417,0.9687114845938376
10,76,42,1007,10,0.9541850220264317,0.6440677966101694,0.8837209302325582,0.7450980392156863,0.9218413993393486
15,54,10,689,2,0.9841059602649007,0.84375,0.9642857142857143,0.9,0.9749897813202535
20,42,11,511,1,0.9787610619469026,0.7924528301886793,0.9767441860465116,0.875,0.9778356945558229
25,33,6,412,4,0.978021978021978,0.8461538461538461,0.8918918918918919,0.868421052631579,0.938768912453123
30,26,6,343,0,0.984,0.8125,1.0,0.896551724137931,0.9914040114613181
35,20,10,291,4,0.9569230769230769,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.9000553709856036
40,16,4,256,4,0.9714285714285714,0.8,0.8,0.8,0.8923076923076924
45,19,3,228,0,0.988,0.8636363636363636,1.0,0.926829268292683,0.9935064935064934
50,19,2,204,0,0.9911111111111112,0.9047619047619048,1.0,0.95,0.9951456310679612
