Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,103,0,2147,20,0.9911894273127754,1.0,0.8373983739837398,0.911504424778761,0.9186991869918699
10,52,0,1073,10,0.9911894273127754,1.0,0.8387096774193549,0.9122807017543859,0.9193548387096775
15,35,0,714,6,0.9920529801324504,1.0,0.8536585365853658,0.9210526315789473,0.9268292682926829
20,25,0,534,6,0.9893805309734514,1.0,0.8064516129032258,0.8928571428571429,0.9032258064516129
25,21,0,429,5,0.989010989010989,1.0,0.8076923076923077,0.8936170212765957,0.9038461538461539
30,17,0,354,4,0.9893333333333333,1.0,0.8095238095238095,0.8947368421052632,0.9047619047619048
35,13,0,308,4,0.9876923076923076,1.0,0.7647058823529411,0.8666666666666667,0.8823529411764706
40,7,0,266,7,0.975,1.0,0.5,0.6666666666666666,0.75
45,9,0,237,4,0.984,1.0,0.6923076923076923,0.8181818181818182,0.8461538461538461
50,6,0,214,5,0.9777777777777777,1.0,0.5454545454545454,0.7058823529411765,0.7727272727272727
