Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,156,8,2074,27,0.9845474613686535,0.9512195121951219,0.8524590163934426,0.899135446685879,0.9243082786097856
10,70,5,1033,22,0.9761061946902655,0.9333333333333333,0.7608695652173914,0.8383233532934131,0.8780263047666919
15,42,6,688,19,0.9668874172185431,0.875,0.6885245901639344,0.7706422018348624,0.839939528511362
20,32,4,516,13,0.9699115044247788,0.8888888888888888,0.7111111111111111,0.7901234567901234,0.8517094017094018
25,22,4,408,16,0.9555555555555556,0.8461538461538461,0.5789473684210527,0.6875,0.7846193152784875
30,21,4,340,10,0.9626666666666667,0.84,0.6774193548387096,0.75,0.8328957239309827
35,11,3,291,15,0.94375,0.7857142857142857,0.4230769230769231,0.55,0.706436420722135
40,10,2,256,12,0.95,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.7233967582804792
45,9,3,226,12,0.94,0.75,0.42857142857142855,0.5454545454545454,0.7077354959451029
50,10,1,203,11,0.9466666666666667,0.9090909090909091,0.47619047619047616,0.625,0.7356442577030813
55,5,1,186,13,0.9317073170731708,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.636215092097445
60,5,2,168,10,0.9351351351351351,0.7142857142857143,0.3333333333333333,0.45454545454545453,0.6607843137254902
65,4,1,161,9,0.9428571428571428,0.8,0.3076923076923077,0.4444444444444444,0.6507597340930674
70,2,1,145,12,0.91875,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.5680039138943248
75,6,2,136,6,0.9466666666666667,0.75,0.5,0.6,0.7427536231884058
80,6,2,126,6,0.9428571428571428,0.75,0.5,0.6,0.7421875
