Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,105,0,2147,18,0.9920704845814978,1.0,0.8536585365853658,0.9210526315789473,0.9268292682926829
10,50,0,1073,12,0.9894273127753304,1.0,0.8064516129032258,0.8928571428571429,0.9032258064516129
15,32,0,714,9,0.9880794701986755,1.0,0.7804878048780488,0.8767123287671232,0.8902439024390244
20,21,0,534,10,0.9823008849557522,1.0,0.6774193548387096,0.8076923076923077,0.8387096774193548
25,12,1,428,14,0.967032967032967,0.9230769230769231,0.46153846153846156,0.6153846153846154,0.7296037296037297
30,14,0,354,7,0.9813333333333333,1.0,0.6666666666666666,0.8,0.8333333333333333
35,11,1,307,6,0.9784615384615385,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8219060351413292
40,5,0,266,9,0.9678571428571429,1.0,0.35714285714285715,0.5263157894736842,0.6785714285714286
45,5,0,237,8,0.968,1.0,0.38461538461538464,0.5555555555555556,0.6923076923076923
50,5,0,214,6,0.9733333333333334,1.0,0.45454545454545453,0.625,0.7272727272727273
