Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,125,34,2093,18,0.9770925110132158,0.7861635220125787,0.8741258741258742,0.8278145695364238,0.92907045939486
10,63,17,1046,9,0.9770925110132158,0.7875,0.875,0.8289473684210527,0.9295037629350893
15,43,13,694,5,0.976158940397351,0.7678571428571429,0.8958333333333334,0.8269230769230769,0.9387228901461575
20,31,5,525,4,0.984070796460177,0.8611111111111112,0.8857142857142857,0.8732394366197183,0.9381401617250673
25,28,10,411,1,0.9755555555555555,0.7368421052631579,0.9655172413793104,0.835820895522388,0.9708821361290851
30,17,4,349,5,0.976,0.8095238095238095,0.7727272727272727,0.7906976744186046,0.880697913984033
35,20,3,301,1,0.9876923076923076,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.9712562656641603
40,15,6,257,2,0.9714285714285714,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9297696264817714
45,14,14,220,2,0.936,0.5,0.875,0.6363636363636364,0.9075854700854701
50,11,6,204,4,0.9555555555555556,0.6470588235294118,0.7333333333333333,0.6875,0.8523809523809524
55,11,2,191,1,0.9853658536585366,0.8461538461538461,0.9166666666666666,0.88,0.9531519861830742
60,10,3,176,1,0.9789473684210527,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.9461655662772981
