evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-12-17 12:30:00,2023-12-17 21:40:00,56.0
oscilacao_002,oscilacao,2023-10-25 05:50:00,2023-10-25 16:30:00,65.0
oscilacao_003,oscilacao,2023-12-05 07:10:00,2023-12-05 16:40:00,58.0
oscilacao_004,oscilacao,2023-10-30 17:40:00,2023-10-31 04:10:00,64.0
oscilacao_005,oscilacao,2023-10-27 06:10:00,2023-10-27 13:20:00,44.0
oscilacao_006,oscilacao,2023-12-10 01:00:00,2023-12-10 12:10:00,68.0
oscilacao_007,oscilacao,2023-09-14 12:50:00,2023-09-14 19:10:00,39.0
oscilacao_008,oscilacao,2023-10-31 18:20:00,2023-11-01 01:40:00,45.0
oscilacao_009,oscilacao,2023-10-24 19:00:00,2023-10-25 03:50:00,54.0
oscilacao_010,oscilacao,2023-09-24 00:20:00,2023-09-24 09:30:00,56.0
oscilacao_011,oscilacao,2023-11-10 06:40:00,2023-11-10 16:50:00,62.0
oscilacao_012,oscilacao,2023-12-22 19:30:00,2023-12-23 05:10:00,59.0
lacuna_001,lacuna,2023-11-01 09:30:00,2023-11-01 15:20:00,36.0
lacuna_002,lacuna,2023-12-31 01:10:00,2023-12-31 05:30:00,27.0
lacuna_003,lacuna,2023-10-26 07:10:00,2023-10-26 12:40:00,34.0
lacuna_004,lacuna,2023-09-15 08:20:00,2023-09-15 12:20:00,25.0
lacuna_005,lacuna,2023-12-26 21:40:00,2023-12-27 03:40:00,37.0
lacuna_006,lacuna,2023-11-02 06:30:00,2023-11-02 12:10:00,35.0
lacuna_007,lacuna,2023-10-16 23:10:00,2023-10-17 04:30:00,33.0
lacuna_008,lacuna,2023-12-19 13:30:00,2023-12-19 19:10:00,35.0
lacuna_009,lacuna,2023-09-16 08:20:00,2023-09-16 14:40:00,39.0
lacuna_010,lacuna,2023-09-13 08:50:00,2023-09-13 16:00:00,44.0
lacuna_011,lacuna,2023-09-16 19:20:00,2023-09-17 00:40:00,33.0
lacuna_012,lacuna,2024-01-06 00:00:00,2024-01-06 03:50:00,24.0
queda_001,queda,2023-12-31 18:40:00,2024-01-01 00:30:00,36.0
queda_002,queda,2023-12-15 07:10:00,2023-12-15 10:50:00,23.0
queda_003,queda,2023-12-31 12:10:00,2023-12-31 15:40:00,22.0
queda_004,queda,2023-09-27 10:10:00,2023-09-27 14:20:00,26.0
queda_005,queda,2023-10-04 06:10:00,2023-10-04 09:10:00,19.0
queda_006,queda,2023-12-25 06:30:00,2023-12-25 10:50:00,27.0
queda_007,queda,2023-12-27 16:50:00,2023-12-27 22:00:00,32.0
queda_008,queda,2023-10-13 21:30:00,2023-10-14 02:00:00,28.0
queda_009,queda,2023-12-03 10:40:00,2023-12-03 13:30:00,18.0
queda_010,queda,2023-11-29 16:40:00,2023-11-29 20:40:00,25.0
queda_011,queda,2023-12-17 21:50:00,2023-12-18 01:50:00,25.0
queda_012,queda,2024-01-01 14:20:00,2024-01-01 18:30:00,26.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
