teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
sem_erro,catboost,lacuna,20,5,5,1811,1811,119,1692,0,1811,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999994478,1811,0,0,0
sem_erro,catboost,lacuna,20,10,10,906,906,58,848,0,906,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999988962,906,0,0,0
sem_erro,catboost,lacuna,20,15,15,604,604,40,564,0,604,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999983444,604,0,0,0
sem_erro,catboost,lacuna,20,20,20,453,453,28,425,0,453,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999977925,453,0,0,0
sem_erro,catboost,lacuna,30,5,5,1809,1809,151,1658,0,1809,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999994472,1809,0,0,0
sem_erro,catboost,lacuna,30,10,10,905,905,74,831,0,905,0,0,0,1.0,1.0,0.0,0.0,0.0,0.999999999998895,905,0,0,0
sem_erro,catboost,lacuna,30,15,15,603,603,51,552,0,603,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999983417,603,0,0,0
sem_erro,catboost,lacuna,30,20,20,453,453,38,415,0,453,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999977925,453,0,0,0
sem_erro,catboost,lacuna,30,25,25,362,362,31,331,0,362,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999972375,362,0,0,0
sem_erro,catboost,lacuna,30,30,30,302,302,26,276,0,302,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999966888,302,0,0,0
sem_erro,catboost,lacuna,40,5,5,1807,1807,183,1624,0,1807,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999994466,1807,0,0,0
sem_erro,catboost,lacuna,40,10,10,904,904,90,814,0,904,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999988938,904,0,0,0
sem_erro,catboost,lacuna,40,15,15,603,603,62,541,0,603,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999983417,603,0,0,0
sem_erro,catboost,lacuna,40,20,20,452,452,44,408,0,452,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999977877,452,0,0,0
sem_erro,catboost,lacuna,40,25,25,362,362,37,325,0,362,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999972375,362,0,0,0
sem_erro,catboost,lacuna,40,30,30,302,302,30,272,0,302,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999966888,302,0,0,0
sem_erro,catboost,lacuna,40,35,35,259,259,29,230,0,259,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999961391,259,0,0,0
