Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,1,1,0,1,3493,0,0.9997137950772753,0.0,0.0,0.0,0.9997137950772753
10,0,0,0,0,0,1747,0,1.0,0.0,0.0,0.0,1.0
15,0,1,1,0,1,1164,0,0.9991416309012876,0.0,0.0,0.0,0.9991416309012876
20,0,0,0,0,0,874,0,1.0,0.0,0.0,0.0,1.0
25,0,1,1,0,1,698,0,0.9985693848354793,0.0,0.0,0.0,0.9985693848354793
30,0,1,1,0,1,582,0,0.9982847341337907,0.0,0.0,0.0,0.9982847341337907
35,0,2,2,0,2,498,0,0.996,0.0,0.0,0.0,0.996
40,0,0,0,0,0,437,0,1.0,0.0,0.0,0.0,1.0
45,0,0,0,0,0,389,0,1.0,0.0,0.0,0.0,1.0
50,0,0,0,0,0,350,0,1.0,0.0,0.0,0.0,1.0
55,0,1,1,0,1,317,0,0.9968553459119497,0.0,0.0,0.0,0.9968553459119497
60,0,0,0,0,0,292,0,1.0,0.0,0.0,0.0,1.0
65,0,2,2,0,2,267,0,0.9925650557620818,0.0,0.0,0.0,0.9925650557620818
70,0,0,0,0,0,250,0,1.0,0.0,0.0,0.0,1.0
75,0,1,1,0,1,232,0,0.9957081545064378,0.0,0.0,0.0,0.9957081545064378
80,0,0,0,0,0,219,0,1.0,0.0,0.0,0.0,1.0
85,0,0,0,0,0,206,0,1.0,0.0,0.0,0.0,1.0
90,0,0,0,0,0,195,0,1.0,0.0,0.0,0.0,1.0
95,0,0,0,0,0,184,0,1.0,0.0,0.0,0.0,1.0
100,0,0,0,0,0,175,0,1.0,0.0,0.0,0.0,1.0
