Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,3500,0,1.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,1750,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,1167,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,875,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,700,0,1.0,0.0,0.0,0.0,1.0
30,0,0,0,0,0,584,0,1.0,0.0,0.0,0.0,1.0
35,0,0,0,0,0,500,0,1.0,0.0,0.0,0.0,1.0
40,0,0,0,0,0,438,0,1.0,0.0,0.0,0.0,1.0
45,0,0,0,0,0,389,0,1.0,0.0,0.0,0.0,1.0
50,0,0,0,0,0,350,0,1.0,0.0,0.0,0.0,1.0
55,0,0,0,0,0,319,0,1.0,0.0,0.0,0.0,1.0
60,0,0,0,0,0,292,0,1.0,0.0,0.0,0.0,1.0
65,0,0,0,0,0,270,0,1.0,0.0,0.0,0.0,1.0
70,0,0,0,0,0,250,0,1.0,0.0,0.0,0.0,1.0
