Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,3504,0,1.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,1752,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,1168,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,876,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,701,0,1.0,0.0,0.0,0.0,1.0
30,0,0,0,0,0,584,0,1.0,0.0,0.0,0.0,1.0
35,0,0,0,0,0,501,0,1.0,0.0,0.0,0.0,1.0
40,0,0,0,0,0,438,0,1.0,0.0,0.0,0.0,1.0
45,0,0,0,0,0,390,0,1.0,0.0,0.0,0.0,1.0
50,0,0,0,0,0,351,0,1.0,0.0,0.0,0.0,1.0
