Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,18,18,0,35,3463,0,0.9899942824471126,0.0,0.0,0.0,0.9899942824471126
10,0,10,10,0,13,1736,0,0.9925671812464265,0.0,0.0,0.0,0.9925671812464265
15,0,11,11,0,17,1149,0,0.9854202401372213,0.0,0.0,0.0,0.9854202401372213
20,0,6,6,0,7,868,0,0.992,0.0,0.0,0.0,0.992
25,0,6,6,0,7,693,0,0.99,0.0,0.0,0.0,0.99
30,0,5,5,0,5,578,0,0.9914236706689536,0.0,0.0,0.0,0.9914236706689536
35,0,4,4,0,4,496,0,0.992,0.0,0.0,0.0,0.992
40,0,3,3,0,3,435,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
45,0,4,4,0,4,385,0,0.9897172236503856,0.0,0.0,0.0,0.9897172236503856
50,0,4,4,0,5,345,0,0.9857142857142858,0.0,0.0,0.0,0.9857142857142858
55,0,1,1,0,1,317,0,0.9968553459119497,0.0,0.0,0.0,0.9968553459119497
60,0,3,3,0,3,289,0,0.9897260273972602,0.0,0.0,0.0,0.9897260273972602
65,0,2,2,0,3,267,0,0.9888888888888889,0.0,0.0,0.0,0.9888888888888889
70,0,3,3,0,3,247,0,0.988,0.0,0.0,0.0,0.988
75,0,3,3,0,3,231,0,0.9871794871794872,0.0,0.0,0.0,0.9871794871794872
80,0,1,1,0,1,218,0,0.9954337899543378,0.0,0.0,0.0,0.9954337899543378
