Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,11,11,0,22,3482,0,0.9937214611872146,0.0,0.0,0.0,0.9937214611872146
10,0,8,8,0,14,1738,0,0.9920091324200914,0.0,0.0,0.0,0.9920091324200914
15,0,3,3,0,3,1165,0,0.997431506849315,0.0,0.0,0.0,0.997431506849315
20,0,5,5,0,5,871,0,0.9942922374429224,0.0,0.0,0.0,0.9942922374429224
25,0,4,4,0,6,695,0,0.9914407988587732,0.0,0.0,0.0,0.9914407988587732
30,0,3,3,0,4,580,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
35,0,2,2,0,3,498,0,0.9940119760479041,0.0,0.0,0.0,0.9940119760479041
40,0,5,5,0,5,433,0,0.9885844748858448,0.0,0.0,0.0,0.9885844748858448
45,0,2,2,0,2,388,0,0.9948717948717949,0.0,0.0,0.0,0.9948717948717949
50,0,2,2,0,3,348,0,0.9914529914529915,0.0,0.0,0.0,0.9914529914529915
