Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,8,8,0,13,3491,0,0.9962899543378996,0.0,0.0,0.0,0.9962899543378996
10,0,6,6,0,6,1746,0,0.9965753424657534,0.0,0.0,0.0,0.9965753424657534
15,0,2,2,0,3,1165,0,0.997431506849315,0.0,0.0,0.0,0.997431506849315
20,0,4,4,0,5,871,0,0.9942922374429224,0.0,0.0,0.0,0.9942922374429224
25,0,2,2,0,3,698,0,0.9957203994293866,0.0,0.0,0.0,0.9957203994293866
30,0,2,2,0,2,582,0,0.9965753424657534,0.0,0.0,0.0,0.9965753424657534
35,0,2,2,0,2,499,0,0.9960079840319361,0.0,0.0,0.0,0.9960079840319361
40,0,3,3,0,3,435,0,0.9931506849315068,0.0,0.0,0.0,0.9931506849315068
45,0,1,1,0,1,389,0,0.9974358974358974,0.0,0.0,0.0,0.9974358974358974
50,0,2,2,0,2,349,0,0.9943019943019943,0.0,0.0,0.0,0.9943019943019943
