Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,12,12,0,50,3446,0,0.9856979405034325,0.0,0.0,0.0,0.9856979405034325
10,0,9,9,0,28,1720,0,0.9839816933638444,0.0,0.0,0.0,0.9839816933638444
15,0,7,7,0,14,1152,0,0.9879931389365352,0.0,0.0,0.0,0.9879931389365352
20,0,5,5,0,11,863,0,0.9874141876430206,0.0,0.0,0.0,0.9874141876430206
25,0,3,3,0,6,694,0,0.9914285714285714,0.0,0.0,0.0,0.9914285714285714
30,0,4,4,0,8,575,0,0.9862778730703259,0.0,0.0,0.0,0.9862778730703259
35,0,3,3,0,8,492,0,0.984,0.0,0.0,0.0,0.984
40,0,5,5,0,7,430,0,0.9839816933638444,0.0,0.0,0.0,0.9839816933638444
45,0,5,5,0,9,380,0,0.9768637532133676,0.0,0.0,0.0,0.9768637532133676
50,0,5,5,0,7,343,0,0.98,0.0,0.0,0.0,0.98
55,0,3,3,0,3,315,0,0.9905660377358491,0.0,0.0,0.0,0.9905660377358491
60,0,2,2,0,3,289,0,0.9897260273972602,0.0,0.0,0.0,0.9897260273972602
65,0,4,4,0,6,263,0,0.9776951672862454,0.0,0.0,0.0,0.9776951672862454
70,0,3,3,0,5,245,0,0.98,0.0,0.0,0.0,0.98
75,0,3,3,0,4,230,0,0.9829059829059829,0.0,0.0,0.0,0.9829059829059829
80,0,4,4,0,5,214,0,0.9771689497716894,0.0,0.0,0.0,0.9771689497716894
85,0,1,1,0,1,205,0,0.9951456310679612,0.0,0.0,0.0,0.9951456310679612
90,0,6,6,0,8,187,0,0.958974358974359,0.0,0.0,0.0,0.958974358974359
