Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,1,1,0,1,1802,0,0.9994453688297282,0.0,0.0,0.0,0.9994453688297282
10,0,0,0,0,0,902,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,601,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,451,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,361,0,1.0,0.0,0.0,0.0,1.0
30,0,0,0,0,0,301,0,1.0,0.0,0.0,0.0,1.0
35,0,0,0,0,0,258,0,1.0,0.0,0.0,0.0,1.0
40,0,0,0,0,0,226,0,1.0,0.0,0.0,0.0,1.0
45,0,0,0,0,0,201,0,1.0,0.0,0.0,0.0,1.0
50,0,0,0,0,0,181,0,1.0,0.0,0.0,0.0,1.0
55,0,0,0,0,0,164,0,1.0,0.0,0.0,0.0,1.0
60,0,0,0,0,0,151,0,1.0,0.0,0.0,0.0,1.0
