Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,1805,0,1.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,903,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,602,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,452,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,361,0,1.0,0.0,0.0,0.0,1.0
30,0,0,0,0,0,301,0,1.0,0.0,0.0,0.0,1.0
35,0,1,1,0,1,257,0,0.9961240310077519,0.0,0.0,0.0,0.9961240310077519
40,0,0,0,0,0,226,0,1.0,0.0,0.0,0.0,1.0
45,0,0,0,0,0,201,0,1.0,0.0,0.0,0.0,1.0
50,0,0,0,0,0,181,0,1.0,0.0,0.0,0.0,1.0
